v3;v28;v30;v31;v32;v33;v34;v35;v37;v135;v178;v179;v181;v182;v183;v184;v185;v186;v187;v188;v189;v190;v191;v197;v198;v199;v200;v201;v202;v210;v214;v216;v218;edad;añonac;v89;v90;TIPORELI;order;moresay;prices;speech;maneras;indep;trduro;respon;imag;toleran;ahorro;determi;ferelig;noego;obedien;intpoli;menosdin;INDIV;AUTOEXPR;STATUSR;v123
1;2;3;3;3;3;3;3;3;1;2;1;2;1;1;#¡NULO!;1;2;2;1;1;#¡NULO!;1;1;5;1;1;1;1;98;1;45;12;45.00;1.936;1;2;1.00;1.00;0.00;2.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;2.00;0.05203;-1.81053;-0.82;#¡NULO!
2;2;1;3;3;3;3;3;3;1;1;1;2;1;1;#¡NULO!;1;1;1;1;1;10;1;5;2;1;7;10;10;98;1;20;18;20.00;1.961;6;#¡NULO!;1.00;2.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;2.00;3.00;-0.15050;-1.12216;1.24;7
3;1;3;3;3;3;3;3;2;3;2;1;4;1;1;2;#¡NULO!;2;2;2;2;8;#¡NULO!;10;5;1;10;5;1;98;2;18;16;18.00;1.963;1;#¡NULO!;3.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;1.00;1.00;3.00;-0.46099;-1.48949;-0.89;6
4;3;3;3;3;3;1;3;2;2;1;1;2;2;1;1;1;1;1;1;1;7;1;5;5;1;3;4;5;98;2;71;12;71.00;1.910;1;#¡NULO!;1.00;1.00;0.00;2.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;0.66459;-1.18882;-1.63;#¡NULO!
5;3;3;3;3;3;3;3;2;4;3;10;7;#¡NULO!;2;2;2;2;2;2;2;1;2;8;8;8;8;8;2;77;1;26;14;26.00;1.955;6;#¡NULO!;4.00;1.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;1.00;3.00;0.01325;0.43268;-1.30;3
6;3;3;3;3;3;3;3;2;4;1;10;7;2;2;2;2;2;2;2;2;1;2;5;5;3;5;1;9;98;1;47;14;47.00;1.934;1;1;4.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;3.00;-0.89213;-0.56129;-0.94;3
7;3;3;3;3;3;3;3;2;2;2;1;3;1;1;1;1;2;2;1;1;5;1;5;5;5;6;1;5;98;2;19;14;19.00;1.962;6;#¡NULO!;2.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;2.00;3.00;-0.68653;0.04081;-1.23;3
8;3;3;3;3;3;3;3;2;3;2;1;7;2;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;1;2;2;99;#¡NULO!;3;5;1;1;1;2;29;18;29.00;1.952;1;#¡NULO!;4.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;3.00;2.00;-1.00771;0.45397;0.33;1
9;2;3;3;3;3;3;3;3;3;1;1;3;1;1;#¡NULO!;1;2;2;1;1;8;#¡NULO!;2;1;7;6;1;10;98;2;47;12;47.00;1.934;1;2;3.00;2.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;3.00;-0.32384;-1.60906;-1.76;#¡NULO!
10;3;3;3;3;3;3;3;2;2;2;1;3;2;1;2;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;7;1;6;5;4;4;4;5;98;1;41;21;41.00;1.940;1;2;2.00;2.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;3.00;-0.22718;-0.05280;1.98;7
11;3;3;3;3;3;3;3;2;2;1;1;4;2;1;1;1;1;1;1;1;7;2;6;2;1;7;5;4;98;1;23;18;23.00;1.958;6;#¡NULO!;2.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;0.55758;-1.52573;0.87;3
12;1;2;3;3;3;3;1;2;1;2;1;1;1;1;1;1;1;1;1;1;10;1;99;1;1;1;1;1;1;2;52;15;52.00;1.929;5;2;1.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;3.00;-0.50988;0.20388;-1.30;8
13;3;3;3;3;3;3;3;2;2;2;1;2;1;1;#¡NULO!;1;2;1;1;1;7;1;1;1;3;2;1;3;2;1;46;12;46.00;1.935;6;#¡NULO!;1.00;2.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;0.12951;0.69295;-1.87;3
14;2;3;3;3;3;3;3;2;3;2;1;2;1;1;#¡NULO!;1;2;2;#¡NULO!;2;#¡NULO!;1;4;4;1;1;#¡NULO!;1;4;1;27;21;27.00;1.954;6;#¡NULO!;2.00;2.00;0.00;1.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;2.00;2.00;-0.38139;-0.89672;0.20;8
15;3;3;3;3;3;2;3;1;2;1;1;6;2;1;1;1;#¡NULO!;2;#¡NULO!;#¡NULO!;4;#¡NULO!;3;3;4;5;3;4;1;2;29;20;29.00;1.952;6;#¡NULO!;2.00;0.00;1.00;2.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;3.00;3.00;1.91797;-1.61009;0.73;7
16;3;3;3;3;3;3;3;2;1;1;1;4;1;1;1;1;1;1;1;1;9;1;5;4;1;1;7;1;4;2;35;21;35.00;1.946;1;3;2.00;2.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;3.00;3.00;-0.24249;0.07626;-0.07;9
17;3;3;3;3;3;3;3;2;4;2;1;7;1;1;2;1;1;2;2;1;6;1;1;1;1;1;10;1;2;2;33;21;33.00;1.948;1;2;3.00;0.00;2.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;0.01086;1.06413;0.81;5
18;3;3;3;3;3;3;1;3;2;2;1;1;1;1;1;1;1;1;1;1;10;1;1;1;1;1;1;1;98;1;50;21;50.00;1.931;1;2;1.00;2.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;3.00;-0.93311;0.97497;1.12;#¡NULO!
19;3;3;3;3;3;2;3;2;4;1;1;2;1;1;1;1;2;2;2;1;7;1;1;1;7;7;10;1;98;1;35;21;35.00;1.946;1;2;2.00;1.00;2.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;-0.18983;1.30360;2.29;5
20;3;2;1;3;3;3;1;1;4;2;10;7;3;2;2;2;2;2;2;2;1;2;10;1;5;10;2;1;2;1;37;18;37.00;1.944;6;#¡NULO!;4.00;0.00;2.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;4.00;3.00;0.81300;0.88840;-0.04;3
21;3;3;3;3;3;3;3;2;1;2;1;2;1;1;1;1;1;1;1;1;9;1;1;1;1;1;1;1;77;2;64;21;64.00;1.917;1;2;1.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;3.00;2.00;-0.08887;0.55598;0.33;10
22;3;3;3;3;3;3;3;1;4;2;1;6;2;1;1;1;2;2;2;2;3;2;7;7;5;10;#¡NULO!;5;98;2;46;14;46.00;1.935;1;4;4.00;0.00;1.00;2.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;1.75898;-1.32820;-1.26;4
23;3;3;3;3;3;3;3;2;4;#¡NULO!;10;7;2;2;2;2;2;2;2;2;#¡NULO!;2;5;5;3;5;7;5;98;1;70;13;70.00;1.911;1;#¡NULO!;4.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;2.00;3.00;0.67749;0.08753;-1.51;3
24;3;3;3;3;3;3;3;1;3;2;10;6;2;1;2;1;2;2;2;1;2;2;2;1;5;10;6;2;98;1;44;14;44.00;1.937;1;4;4.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;0.85396;-0.21682;1.24;6
25;3;3;3;3;3;3;3;2;4;2;8;7;2;2;#¡NULO!;2;2;2;2;2;2;2;8;8;7;8;3;4;77;1;19;14;19.00;1.962;6;#¡NULO!;4.00;0.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;2.48685;0.24126;-0.94;#¡NULO!
26;3;3;3;3;3;3;3;2;4;2;10;7;2;2;2;2;2;2;2;2;1;2;5;5;7;6;3;2;2;1;26;15;26.00;1.955;1;1;4.00;2.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;-0.06427;0.33932;-1.51;3
27;1;3;3;3;3;3;3;3;1;2;1;1;1;1;1;1;1;1;1;1;9;1;99;#¡NULO!;1;1;1;1;98;2;52;14;52.00;1.929;1;1;1.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;3.00;-1.33089;0.73248;0.32;#¡NULO!
28;3;3;3;3;3;3;3;2;3;2;1;7;2;#¡NULO!;2;2;2;2;2;2;2;2;5;5;3;6;2;4;2;1;67;17;67.00;1.914;6;#¡NULO!;4.00;1.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;0.43561;1.51166;-1.50;1
29;2;3;3;3;3;3;3;1;1;2;1;1;1;1;1;1;1;1;1;1;10;1;1;1;1;1;1;1;98;2;63;17;63.00;1.918;6;#¡NULO!;1.00;2.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;1.00;3.00;-0.18403;0.24999;-0.03;7
30;2;3;3;3;3;3;3;2;3;2;2;2;1;1;2;1;2;2;1;#¡NULO!;8;1;4;4;1;7;7;1;98;2;31;14;31.00;1.950;1;2;2.00;0.00;0.00;1.00;2.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;0.60665;-1.20550;-0.68;#¡NULO!
31;2;3;3;3;3;3;3;3;2;1;1;5;1;1;1;1;2;2;1;1;#¡NULO!;2;1;2;5;1;2;1;98;2;36;12;36.00;1.945;1;3;2.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;-0.39574;0.02882;-0.80;7
32;3;3;3;3;3;3;3;3;1;2;1;4;1;1;1;1;2;2;1;1;5;1;2;1;1;1;1;1;98;2;18;14;18.00;1.963;6;#¡NULO!;2.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;1.00;3.00;-0.48160;-0.87915;-1.14;8
33;2;3;3;3;3;3;3;3;3;2;1;4;1;1;1;1;2;2;1;1;8;1;3;1;1;1;1;3;98;1;26;14;26.00;1.955;6;#¡NULO!;3.00;0.00;0.00;1.00;2.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;3.00;0.94055;-1.01896;-1.87;3
34;3;3;3;3;3;3;3;2;2;2;1;3;2;1;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;4;#¡NULO!;1;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;98;1;60;12;60.00;1.921;1;#¡NULO!;2.00;0.00;0.00;2.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;2.00;3.00;0.13509;-0.84796;-1.00;4
35;3;3;3;3;3;3;3;3;2;1;1;1;1;1;2;#¡NULO!;1;1;#¡NULO!;2;4;2;4;1;1;1;1;2;1;2;71;12;71.00;1.910;5;5;1.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;3.00;3.00;0.22466;0.45937;-1.95;3
36;3;1;3;3;3;3;3;2;1;1;1;2;2;1;1;1;#¡NULO!;1;1;1;5;1;2;2;1;2;2;2;98;2;24;14;24.00;1.957;1;2;1.00;0.00;2.00;0.00;1.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;2.00;3.00;0.78073;0.49263;-1.95;6
37;3;3;2;3;3;3;3;2;1;2;1;4;3;1;2;2;2;2;2;#¡NULO!;#¡NULO!;2;2;2;2;4;2;2;98;1;37;15;37.00;1.944;1;#¡NULO!;2.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;3.00;3.00;-0.36054;-1.34624;-0.12;4
38;3;3;3;3;3;3;3;3;3;#¡NULO!;1;3;2;1;1;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;4;#¡NULO!;4;3;2;1;3;2;98;1;53;12;53.00;1.928;1;2;4.00;1.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;3.00;1.73863;-0.90985;-0.42;4
39;3;3;3;3;3;3;3;2;3;2;1;7;2;1;1;1;#¡NULO!;2;2;1;5;#¡NULO!;1;3;3;1;7;2;98;1;27;21;27.00;1.954;1;2;4.00;2.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;1.00;3.00;2.00;1.13932;-0.06590;1.46;5
40;3;3;3;3;3;3;3;2;3;2;1;7;1;#¡NULO!;1;2;#¡NULO!;2;2;2;8;1;8;5;4;6;1;7;77;1;36;21;36.00;1.945;6;#¡NULO!;3.00;1.00;0.00;2.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;1.04876;-0.89098;0.17;4
41;3;3;3;3;3;3;3;3;1;1;1;3;1;1;1;1;2;2;1;2;10;1;1;1;2;5;1;1;1;2;53;12;53.00;1.928;1;4;2.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;-0.88290;0.89069;0.92;5
42;1;3;3;3;3;3;3;2;3;1;1;3;1;1;1;1;2;2;1;2;10;1;5;1;5;5;7;2;1;2;26;21;26.00;1.955;1;#¡NULO!;3.00;2.00;0.00;0.00;1.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;3.00;3.00;-0.01862;1.30136;1.43;5
43;3;3;3;3;3;3;3;2;4;1;1;7;2;2;#¡NULO!;1;2;2;2;2;1;2;5;1;5;5;5;1;98;1;37;17;37.00;1.944;1;3;4.00;1.00;2.00;0.00;0.00;1.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;1.23458;0.24781;1.75;5
44;3;3;3;3;3;3;3;2;3;2;1;6;1;1;#¡NULO!;1;#¡NULO!;#¡NULO!;#¡NULO!;1;8;1;8;7;7;9;#¡NULO!;7;98;2;26;21;26.00;1.955;6;#¡NULO!;3.00;2.00;1.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;-0.90006;1.74082;1.02;#¡NULO!
45;1;3;3;3;3;3;3;3;1;1;1;2;1;1;1;1;1;1;1;1;9;1;5;1;1;5;4;5;98;2;56;21;56.00;1.925;6;#¡NULO!;1.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;1.00;2.00;-1.16252;-0.97566;2.52;#¡NULO!
46;3;3;3;3;3;3;3;3;3;2;1;3;1;1;2;1;2;2;2;1;10;1;1;1;1;1;5;1;98;2;42;15;42.00;1.939;1;#¡NULO!;3.00;2.00;1.00;0.00;0.00;1.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;3.00;0.09528;-0.37291;0.96;5
47;3;3;2;3;3;3;3;1;3;2;1;7;1;1;#¡NULO!;1;2;2;2;1;4;2;1;2;5;9;5;5;2;1;50;12;50.00;1.931;1;4;3.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;3.00;1.00;-0.42599;-1.05811;-1.49;4
48;3;3;3;3;3;3;3;2;3;1;1;3;1;1;1;2;2;2;1;2;8;2;1;2;5;3;1;1;98;1;42;21;42.00;1.939;1;5;3.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;3.00;3.00;-0.35461;-0.46030;3.29;5
49;1;3;3;3;3;3;3;1;1;2;1;1;1;1;1;1;1;1;1;1;10;1;1;1;1;1;1;1;98;2;72;14;72.00;1.909;5;4;1.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;3.00;3.00;-0.13718;0.99915;2.47;8
50;2;3;3;3;3;3;3;3;1;#¡NULO!;1;2;1;1;1;1;1;1;1;1;10;1;1;1;1;1;1;1;98;1;70;20;70.00;1.911;1;2;1.00;2.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;2.00;3.00;-1.00922;1.43393;2.42;8
51;3;3;3;3;3;3;3;2;4;2;1;7;#¡NULO!;1;#¡NULO!;2;2;2;2;2;5;2;5;5;5;10;2;5;98;2;22;21;22.00;1.959;6;#¡NULO!;4.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;3.00;1.00;-0.55174;-0.01506;1.69;6
52;3;3;2;3;3;3;3;1;4;2;10;7;2;2;2;1;2;2;2;2;2;2;8;4;8;9;10;5;3;1;25;20;25.00;1.956;2;#¡NULO!;4.00;0.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;1.61415;1.82176;0.50;3
53;3;3;3;3;3;3;3;2;2;1;1;6;1;1;1;1;#¡NULO!;#¡NULO!;1;1;7;1;3;2;4;4;5;3;98;2;21;21;21.00;1.960;6;#¡NULO!;2.00;0.00;1.00;2.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;0.92080;-0.60254;-0.56;5
54;3;3;3;3;3;3;3;2;1;1;1;7;1;1;1;1;1;1;1;1;8;2;1;1;2;10;1;1;4;2;26;18;26.00;1.955;3;2;2.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;-0.35266;1.07288;-0.59;8
55;1;1;3;3;3;2;2;2;2;2;1;3;1;1;1;1;2;2;2;1;4;2;1;1;1;4;1;1;4;1;46;21;46.00;1.935;1;4;2.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;3.00;-0.13385;-0.43638;2.42;7
56;3;3;3;3;3;3;3;1;4;1;10;7;3;2;2;1;2;2;2;2;1;2;1;1;4;4;8;1;2;1;72;12;72.00;1.909;1;3;4.00;2.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;1.00;0.16367;-1.16155;-1.69;1
57;3;3;3;3;3;3;2;2;4;2;1;2;2;1;2;#¡NULO!;2;2;2;2;7;2;1;2;1;4;9;1;98;1;19;21;19.00;1.962;6;#¡NULO!;4.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;2.00;1.10925;-1.07436;1.80;8
58;3;3;3;3;3;3;3;2;2;1;1;2;1;1;1;1;#¡NULO!;#¡NULO!;1;1;9;1;3;1;5;1;10;1;98;2;47;14;47.00;1.934;1;3;1.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;-0.95716;0.23947;2.36;#¡NULO!
59;3;3;3;1;3;3;1;1;4;1;10;7;2;1;2;2;2;2;2;2;1;2;7;5;7;8;7;6;98;2;55;15;55.00;1.926;1;4;4.00;0.00;2.00;0.00;1.00;1.00;1.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;4.00;3.00;1.20059;1.41293;1.20;#¡NULO!
60;3;3;3;3;3;3;3;2;2;#¡NULO!;1;3;1;1;1;1;2;2;1;1;10;1;6;1;1;1;1;10;98;2;59;12;59.00;1.922;1;2;2.00;1.00;0.00;0.00;2.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;3.00;0.37773;-0.74741;0.39;5
61;3;3;3;1;3;3;3;2;4;2;10;7;3;2;#¡NULO!;2;2;2;2;2;1;2;10;10;10;10;10;10;3;1;25;21;25.00;1.956;6;#¡NULO!;4.00;0.00;2.00;1.00;0.00;0.00;1.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;4.00;3.00;1.91337;1.20873;1.29;3
62;3;3;3;3;3;3;3;2;4;2;10;7;3;2;2;2;2;2;2;2;2;2;10;10;10;10;10;10;3;2;21;21;21.00;1.960;6;#¡NULO!;4.00;0.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;2.48685;0.24126;2.36;3
63;3;3;3;3;3;3;3;2;3;2;10;7;2;2;2;1;2;2;2;2;2;2;6;6;6;6;6;3;98;1;27;21;27.00;1.954;6;#¡NULO!;4.00;2.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;2.00;0.55708;0.33402;0.45;4
64;3;3;3;3;3;3;3;1;2;3;1;4;1;1;#¡NULO!;1;2;2;1;1;7;1;1;1;1;2;1;1;98;1;57;21;57.00;1.924;1;3;2.00;2.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;3.00;1.00;-0.95510;0.55039;2.42;7
65;2;3;3;3;3;3;3;2;4;2;1;2;1;1;1;1;2;2;1;2;7;2;10;8;10;10;10;10;98;1;30;21;30.00;1.951;6;#¡NULO!;2.00;0.00;0.00;2.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;0.56992;-0.30937;2.00;5
66;2;3;3;3;3;3;3;2;1;2;1;3;2;1;1;1;1;1;1;1;6;1;1;1;1;4;1;1;2;1;68;12;68.00;1.913;1;2;2.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;3.00;-0.68551;-0.56389;-1.51;5
67;2;3;3;3;3;3;3;2;1;2;1;3;2;1;1;1;1;1;1;#¡NULO!;10;1;99;1;1;6;6;1;98;1;21;16;21.00;1.960;6;#¡NULO!;2.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;2.00;3.00;0.02546;-1.33236;1.88;5
68;3;1;3;3;3;3;3;1;3;1;1;7;#¡NULO!;1;1;1;2;2;#¡NULO!;2;3;2;10;5;5;10;10;#¡NULO!;2;1;33;21;33.00;1.948;6;#¡NULO!;4.00;0.00;0.00;1.00;2.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;4.00;2.00;2.47383;-0.61584;2.11;3
69;2;3;3;3;3;3;3;1;2;2;1;2;1;1;1;1;1;1;1;1;10;1;2;1;1;3;6;3;4;2;32;18;32.00;1.949;6;#¡NULO!;1.00;1.00;0.00;2.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;3.00;3.00;-0.08590;-0.73700;0.87;8
70;2;3;3;3;3;3;3;2;3;1;1;7;2;1;1;1;2;2;2;2;3;2;7;7;3;10;10;#¡NULO!;98;1;25;20;25.00;1.956;6;#¡NULO!;4.00;0.00;0.00;2.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;3.00;1.00;1.40375;-1.42790;0.99;4
71;1;3;3;3;3;3;3;2;3;2;1;2;3;1;2;1;2;2;2;2;5;2;3;3;3;#¡NULO!;7;1;98;1;24;21;24.00;1.957;6;#¡NULO!;4.00;1.00;0.00;2.00;0.00;0.00;1.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;0.96435;-0.26856;1.20;7
72;2;3;3;3;3;3;3;3;2;1;1;2;1;1;1;1;2;2;1;1;6;1;3;3;1;7;1;1;1;2;36;21;36.00;1.945;1;3;1.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;-0.18490;0.12033;1.71;#¡NULO!
73;3;3;3;3;3;3;3;2;1;1;1;3;1;1;2;1;2;2;1;1;10;1;1;1;1;1;1;1;98;1;71;14;71.00;1.910;1;4;2.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;-1.00547;0.68265;-1.98;9
74;3;3;3;3;3;3;3;3;3;1;1;7;2;1;2;2;2;2;2;1;4;2;1;1;1;4;1;1;98;1;59;14;59.00;1.922;1;3;4.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;3.00;-0.47129;-0.23366;-1.07;#¡NULO!
75;3;3;3;3;3;3;3;3;4;1;10;7;3;1;2;1;2;2;1;2;5;2;1;1;10;10;10;10;98;2;30;12;30.00;1.951;1;3;4.00;0.00;2.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;2.00;3.00;-0.07787;0.44816;-0.89;1
76;3;3;3;3;3;3;3;2;4;2;1;5;1;1;1;1;2;2;2;2;5;2;10;7;7;7;7;7;98;2;21;21;21.00;1.960;6;#¡NULO!;3.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;2.00;3.00;0.67749;0.08753;1.06;5
77;3;3;3;3;3;3;3;3;3;#¡NULO!;1;5;2;1;2;#¡NULO!;2;2;2;2;8;1;1;1;1;1;1;1;98;2;76;16;76.00;1.905;5;3;4.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;2.00;3.00;-1.30706;0.04635;0.19;3
