v3;v28;v30;v31;v32;v33;v34;v35;v37;v135;v178;v179;v181;v182;v183;v184;v185;v186;v187;v188;v189;v190;v191;v197;v198;v199;v200;v201;v202;v210;v214;v216;v218;edad;añonac;v89;v90;TIPORELI;order;moresay;prices;speech;maneras;indep;trduro;respon;imag;toleran;ahorro;determi;ferelig;noego;obedien;intpoli;menosdin;INDIV;AUTOEXPR;STATUSR;v123
666;3;3;3;3;3;3;3;1;3;2;1;6;2;1;1;2;2;2;2;2;6;#¡NULO!;3;5;4;5;1;10;98;1;21;21;21.00;1.960;6;#¡NULO!;4.00;2.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;-0.29033;1.08699;0.51;7
667;1;3;3;3;3;3;3;3;1;2;1;2;1;1;1;1;1;1;1;1;8;1;1;1;2;6;1;1;98;2;49;13;49.00;1.932;6;#¡NULO!;1.00;2.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;1.00;3.00;-1.34647;0.77891;0.48;7
668;3;3;3;3;3;3;3;3;3;2;10;7;2;1;1;2;2;2;2;2;7;1;8;5;1;7;1;3;98;2;68;17;68.00;1.913;5;6;4.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;-0.20095;-0.64534;-1.85;#¡NULO!
669;3;3;3;3;3;3;3;3;4;2;10;7;2;#¡NULO!;2;2;2;2;2;2;2;2;2;5;1;1;1;2;98;1;52;12;52.00;1.929;1;3;4.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;0.36618;-1.85658;-1.70;#¡NULO!
670;3;3;3;3;3;3;3;2;2;1;1;4;2;2;2;2;2;2;2;2;4;2;1;6;1;2;#¡NULO!;#¡NULO!;98;1;37;14;37.00;1.944;1;4;2.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;0.63566;-2.04660;-0.15;#¡NULO!
671;3;2;3;3;3;3;3;1;3;2;1;2;1;1;1;1;2;2;1;2;5;2;8;8;5;10;#¡NULO!;1;98;2;48;21;48.00;1.933;5;3;2.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;1.16454;1.35779;1.12;#¡NULO!
672;3;3;3;3;3;3;3;1;2;1;8;6;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;2;4;3;2;6;1;4;98;1;58;21;58.00;1.923;6;#¡NULO!;2.00;2.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;2.00;0.25549;-0.30227;2.29;5
673;3;3;3;3;3;3;3;3;4;2;1;3;1;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;2;2;3;2;6;8;#¡NULO!;98;1;35;14;35.00;1.946;6;2;3.00;0.00;1.00;2.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;0.92080;-0.60254;-0.83;5
674;3;3;3;3;3;3;3;3;1;2;1;1;1;1;1;1;1;1;1;1;10;1;1;1;1;1;1;2;98;2;63;14;63.00;1.918;5;6;1.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;-0.93187;-0.58806;0.78;#¡NULO!
675;3;3;3;3;3;3;3;2;4;2;10;7;#¡NULO!;2;2;2;1;1;1;1;2;2;10;10;10;10;8;10;98;1;33;21;33.00;1.948;6;#¡NULO!;4.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;0.96647;0.07395;1.35;#¡NULO!
676;3;3;3;3;3;3;3;1;3;2;1;7;2;1;2;1;2;2;2;2;5;1;99;#¡NULO!;1;10;7;4;98;2;35;21;35.00;1.946;6;#¡NULO!;4.00;0.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;2.40244;0.86368;-0.35;4
677;3;3;3;3;3;3;3;2;1;2;1;2;1;1;1;1;1;1;1;1;8;1;6;6;2;8;1;4;98;2;35;17;35.00;1.946;1;3;1.00;2.00;1.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;-0.14628;1.63757;1.48;6
678;3;3;3;3;3;3;3;2;3;2;1;5;2;1;1;2;2;2;2;2;3;2;2;1;1;10;6;10;98;1;42;21;42.00;1.939;1;2;4.00;0.00;1.00;0.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;3.00;2.20146;-0.51255;1.75;#¡NULO!
679;3;3;3;3;3;3;3;1;4;2;1;7;2;1;#¡NULO!;1;2;2;2;2;#¡NULO!;#¡NULO!;8;8;7;10;1;6;98;1;49;16;49.00;1.932;1;4;4.00;0.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;1.81621;1.19380;1.32;2
680;3;3;3;3;3;3;3;3;1;1;1;2;1;1;1;1;1;1;1;1;7;1;1;1;3;5;1;1;98;2;57;12;57.00;1.924;1;3;1.00;1.00;0.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;1.00;3.00;-1.22973;-0.77124;-0.42;#¡NULO!
681;3;3;3;3;3;3;3;2;3;3;1;6;2;#¡NULO!;2;2;2;2;2;2;2;2;1;1;1;2;3;3;98;2;22;20;22.00;1.959;6;#¡NULO!;4.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;3.00;0.86065;-0.38743;0.60;#¡NULO!
682;3;3;3;3;3;3;3;2;3;2;1;6;2;#¡NULO!;2;2;2;2;2;2;3;#¡NULO!;3;3;2;2;1;1;98;2;26;17;26.00;1.955;6;#¡NULO!;4.00;2.00;1.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;2.00;3.00;-0.66234;0.47030;0.78;3
683;3;3;3;3;3;3;3;2;4;2;10;7;2;2;2;2;2;2;2;2;1;2;5;1;#¡NULO!;10;10;6;98;1;25;21;25.00;1.956;6;#¡NULO!;4.00;2.00;0.00;0.00;1.00;0.00;1.00;1.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;3.00;3.00;0.62267;0.14944;0.97;5
