v3;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v27;v28;v30;v31;v32;v33;v34;v35;v37;v51;v52;v53;v54;v55;v57;v64;v65;v66;v75;v76;v77;v78;v79;v80;v81;v82;v83;v84;v85;v86;v87;v88;v89;v90;v91;v92;v93;v94;v95;v96;v106;v107;v110;v111;v112;v113;v114;v115;v116;v117;v118;v119;v120;v121;v122;v123;v124;v135;v136;v137;v138;v140;v141;v144;v145;v146;v177;v178;v179;v180;v181;v182;v183;v184;v185;v186;v187;v188;v189;v190;v191;v192;v193;v194;v195;v196;v197;v198;v199;v200;v201;v202;v203;v204;v205;v210;v214;v215;v216;v218;v219;v220;v221;v222;v223;v224;v226;v227;v229;v232;v233;v234;v238;natwave;v1000mpm;v1010mpm;agegroup;grupoeda;v197n;v9r;jovenes;v22r;v182r;v183r;v190r;añonac;GENERAC;configle;misa;prelig;tiporeli;tiporelr;ideolor2;genero;claser;añoeduc;EUROCAT;impdior;ideolor;ideolo;dios;vida;infierno;pecado;IMPDIO;order;moresay;prices;speech;maneras;indep;trduro;respon;imag;toleran;ahorro;determi;ferelig;noego;obedien;intpoli;menosdin;INDIV;AUTOEX;STATUS;STATUSR;edadnuev
693;2;2;1;1;2;1;2;2;2;1;2;2;2;2;2;1;3;3;3;3;3;3;3;2;2;2;2;2;2;2;9;5;9;1;1;1;2;2;1;1;2;2;1;1;2;3;2;6;#¡NULO!;3;1;1;2;1;1;2;4;#¡NULO!;1;1;3;2;1;3;3;1;2;1;#¡NULO!;3;7;2;3;1;3;3;4;3;4;4;4;1;2;1;#¡NULO!;3;2;1;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;8;#¡NULO!;5;8;6;6;1;5;5;1;7;7;5;3;2;1;98;2;55;26;21;1;7;#¡NULO!;2;#¡NULO!;4;2;#¡NULO!;0;2;1;1;0;81;3;9;2;3;5;8;1;2;2;1;3;1.969;#¡NULO!;0;0;0;4;1;7;0;4;21;4;8;7;3;1;1;2;2;2;0;2;0;1;0;1;0;0;0;1;0;0;0;0;0;2;3;1.57598;0.99130;1.519919078647;1.203392274285;12.00
696;2;1;2;1;2;2;2;1;2;1;2;2;2;2;2;2;3;3;3;3;3;3;3;2;1;2;1;2;2;2;10;5;7;1;2;2;2;2;2;1;2;2;1;1;2;2;1;6;#¡NULO!;4;2;2;1;3;3;2;1;#¡NULO!;1;1;1;1;1;3;3;2;3;2;2;3;5;2;3;2;3;3;2;2;2;3;3;3;2;10;#¡NULO!;4;2;1;#¡NULO!;1;2;2;1;1;#¡NULO!;2;2;2;8;5;1;2;2;1;10;7;5;1;3;1;98;1;57;24;21;1;6;#¡NULO!;2;#¡NULO!;1;1;#¡NULO!;0;2;1;1;0;81;2;9;1;2;2;8;1;2;2;1;5;1.969;#¡NULO!;0;0;0;4;1;5;1;5;21;4;#¡NULO!;5;2;1;2;2;1;5;1;2;0;0;0;0;0;1;0;1;0;0;0;0;0;2;3;0.22864;1.92603;2.713373978200;2.970316686180;12.00
697;3;1;2;1;2;2;2;2;1;2;1;2;2;1;2;2;3;3;3;3;3;3;3;3;2;2;1;2;2;2;4;3;9;1;2;1;2;2;2;2;1;1;1;2;2;4;2;6;#¡NULO!;1;2;2;1;1;1;2;1;2;1;3;1;3;3;2;3;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;2;2;10;#¡NULO!;7;3;2;2;2;2;2;2;2;1;2;10;10;10;10;2;8;10;10;10;10;10;2;3;3;98;1;55;26;14;1;1;7;1;0;0;3;5;0;2;1;1;0;81;2;9;2;3;8;8;1;2;3;2;1;1.969;#¡NULO!;0;0;0;4;1;2;1;3;14;4;1;2;1;2;2;2;2;4;1;2;0;0;0;0;0;0;1;0;1;0;0;1;0;2;3;1.54890;-1.63136;-0.609423872795;-0.436511264954;12.00
698;1;1;1;1;2;1;2;1;2;1;2;2;1;2;2;1;3;3;3;3;3;3;3;3;2;2;1;2;2;2;5;8;7;1;2;1;2;2;1;1;1;2;2;2;2;2;2;6;#¡NULO!;4;1;2;2;2;2;2;1;#¡NULO!;1;1;1;1;1;2;4;3;3;3;3;3;#¡NULO!;2;3;4;4;4;4;3;4;4;4;3;2;1;#¡NULO!;3;2;1;1;2;2;2;2;2;6;2;1;1;5;5;1;1;1;1;5;1;1;1;3;1;98;2;52;29;21;1;1;4;1;0;0;2;6;0;2;1;1;0;81;2;9;2;3;1;8;1;1;2;1;2;1.969;#¡NULO!;0;0;0;4;1;5;0;4;21;4;6;#¡NULO!;4;1;1;2;2;3;1;2;0;0;0;1;0;1;0;1;0;0;1;0;0;1;3;0.32155;1.64424;1.254746731531;0.870498252935;12.00
699;1;1;2;#¡NULO!;1;2;2;1;2;1;2;2;2;2;2;1;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;10;#¡NULO!;1;1;2;2;1;2;1;2;2;2;2;2;4;2;6;#¡NULO!;3;2;2;1;1;1;2;3;2;1;1;1;1;3;3;4;3;3;2;2;3;2;1;4;4;4;4;4;4;4;4;4;1;2;10;#¡NULO!;7;3;2;#¡NULO!;#¡NULO!;2;2;2;1;1;2;8;8;10;5;1;10;10;10;10;9;10;1;2;4;98;1;60;21;16;1;1;8;1;0;0;4;#¡NULO!;0;2;1;1;0;81;2;9;1;2;10;8;1;2;3;2;1;1.969;#¡NULO!;0;0;0;4;1;2;1;2;16;4;1;2;1;2;2;2;1;4;0;2;1;0;1;0;0;1;0;1;0;0;0;0;0;1;3;0.01086;1.06413;-1.083145034116;-1.564369111876;12.00
700;2;1;1;1;2;1;2;1;2;1;2;2;1;2;2;1;3;3;3;3;3;3;3;1;1;2;1;1;1;2;10;10;10;1;1;1;1;2;1;1;1;1;1;1;1;1;2;6;#¡NULO!;7;1;1;2;2;2;1;3;1;1;1;1;1;1;3;2;2;3;1;3;3;8;2;1;1;2;3;3;2;2;2;2;2;1;1;#¡NULO!;2;1;1;1;1;1;1;1;1;10;1;1;1;2;1;1;1;1;1;1;1;1;1;3;1;4;2;60;21;21;1;6;#¡NULO!;2;#¡NULO!;3;1;#¡NULO!;0;2;1;1;0;81;1;9;1;2;1;8;1;1;1;1;4;1.969;#¡NULO!;1;1;1;1;4;8;0;5;21;4;10;8;3;1;1;1;1;1;2;0;1;0;0;1;0;1;0;1;0;0;1;0;0;3;3;-0.13718;0.99915;2.359141163132;2.515269871015;12.00
702;2;1;1;2;1;1;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;1;2;1;1;2;2;3;6;8;1;2;1;2;2;2;2;1;2;2;2;2;4;2;1;1;2;1;2;2;2;1;3;4;2;3;3;1;1;2;1;3;1;2;1;1;2;4;2;4;3;3;3;3;3;2;3;4;2;2;10;#¡NULO!;7;2;1;1;1;2;2;2;2;8;2;10;5;5;3;1;1;1;1;5;1;1;1;2;1;2;1;54;27;14;#¡NULO!;1;8;1;0;0;4;3;0;2;1;1;0;81;2;9;2;3;1;8;1;2;2;1;3;1.969;#¡NULO!;0;0;0;4;1;4;1;2;14;4;8;4;1;1;1;2;2;2;0;0;2;1;1;1;1;1;0;0;0;0;0;0;0;2;1;0.77830;-1.63595;-1.349315857131;-1.508400756695;12.00
707;2;1;1;2;1;2;2;2;2;2;2;2;2;2;1;1;3;3;3;3;3;3;3;2;1;2;2;2;2;2;4;8;7;1;1;1;1;1;2;1;2;2;2;2;2;4;2;6;#¡NULO!;1;1;2;2;1;2;3;2;1;2;1;1;2;2;1;4;3;3;2;3;3;#¡NULO!;2;2;2;2;2;2;2;2;2;2;4;1;1;#¡NULO!;7;2;1;1;1;2;2;1;1;5;2;1;1;1;1;1;1;1;1;3;1;1;2;1;1;98;1;58;23;14;1;1;9;1;0;0;4;4;0;1;1;1;0;81;2;9;1;2;1;8;1;2;2;1;2;1.969;#¡NULO!;1;0;0;2;3;5;1;2;14;4;5;#¡NULO!;4;1;1;2;1;3;0;1;2;0;1;0;0;0;0;0;0;0;0;0;1;1;2;-0.14577;-1.70147;-1.327275780639;-1.493083064163;12.00
708;2;3;2;2;1;2;2;2;1;1;2;2;2;2;1;2;3;3;3;3;3;3;3;3;1;2;2;1;2;2;8;7;8;1;1;1;1;1;1;1;1;2;1;2;2;2;2;6;#¡NULO!;2;1;2;2;2;1;1;3;1;1;1;1;1;1;1;4;3;3;2;3;3;3;2;2;3;2;2;2;3;2;2;3;3;2;1;#¡NULO!;3;2;1;1;1;2;2;1;1;7;2;3;3;3;2;1;1;1;2;4;3;1;1;2;2;98;2;58;23;21;1;6;#¡NULO!;2;#¡NULO!;8;4;3;0;1;1;1;0;81;1;9;1;2;1;8;1;2;2;1;3;1.969;#¡NULO!;1;0;0;2;3;3;0;2;21;4;7;3;1;1;1;2;1;2;2;0;1;0;1;0;0;0;1;1;0;0;0;0;1;1;3;-0.63053;-0.47150;-0.630616762406;-1.483225244564;12.00
712;1;1;2;2;2;1;2;1;1;2;2;2;2;2;1;2;3;3;3;3;3;3;3;2;2;2;2;1;1;2;7;7;9;1;1;1;1;1;2;1;2;2;1;2;1;4;2;6;#¡NULO!;2;1;2;1;1;1;2;4;2;1;3;1;3;3;1;3;1;2;1;2;2;3;1;4;4;4;3;3;4;3;4;4;4;2;10;#¡NULO!;7;2;1;2;2;2;2;2;2;2;2;10;10;10;4;1;8;4;5;8;3;4;2;1;2;98;2;58;23;21;1;7;#¡NULO!;2;#¡NULO!;4;2;6;0;1;1;1;0;81;3;9;1;2;8;8;1;2;2;1;1;1.969;#¡NULO!;0;0;0;4;1;3;0;4;21;4;2;3;1;1;2;2;2;4;0;2;0;1;0;1;0;1;1;0;0;0;0;0;1;2;3;1.98417;0.45403;1.228147171383;0.920146119559;12.00
