v3;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v27;v28;v30;v31;v32;v33;v34;v35;v37;v51;v52;v53;v54;v55;v57;v64;v65;v66;v75;v76;v77;v78;v79;v80;v81;v82;v83;v84;v85;v86;v87;v88;v89;v90;v91;v92;v93;v94;v95;v96;v106;v107;v110;v111;v112;v113;v114;v115;v116;v117;v118;v119;v120;v121;v122;v123;v124;v135;v136;v137;v138;v140;v141;v144;v145;v146;v177;v178;v179;v180;v181;v182;v183;v184;v185;v186;v187;v188;v189;v190;v191;v192;v193;v194;v195;v196;v197;v198;v199;v200;v201;v202;v203;v204;v205;v210;v214;v215;v216;v218;v219;v220;v221;v222;v223;v224;v226;v227;v229;v232;v233;v234;v238;natwave;v1000mpm;v1010mpm;agegroup;grupoeda;v197n;v9r;jovenes;v22r;v182r;v183r;v190r;añonac;GENERAC;configle;misa;prelig;tiporeli;tiporelr;ideolor2;genero;claser;añoeduc;EUROCAT;impdior;ideolor;ideolo;dios;vida;infierno;pecado;IMPDIO;order;moresay;prices;speech;maneras;indep;trduro;respon;imag;toleran;ahorro;determi;ferelig;noego;obedien;intpoli;menosdin;INDIV;AUTOEX;STATUS;STATUSR;edadnuev
2;2;3;2;2;2;1;1;2;2;2;1;2;1;2;2;2;2;1;3;3;3;3;3;3;2;2;2;2;2;2;10;9;8;1;1;1;2;1;2;1;2;2;1;2;#¡NULO!;2;1;6;#¡NULO!;3;1;2;#¡NULO!;2;1;1;3;1;1;3;1;2;2;1;3;2;2;1;2;3;7;2;1;1;4;1;4;1;4;4;3;2;1;1;#¡NULO!;2;1;1;#¡NULO!;1;1;1;1;1;10;1;1;3;7;1;1;5;2;1;7;10;10;2;3;2;98;1;61;20;18;2;6;#¡NULO!;2;#¡NULO!;2;2;8;0;1;1;#¡NULO!;0;81;1;9;1;1;5;8;1;1;1;1;4;1.964;#¡NULO!;1;1;1;1;4;7;1;4;18;4;10;7;3;1;2;1;1;1;2;0;1;0;0;1;1;0;0;0;1;0;1;0;0;2;3;-0.15050;-1.12216;1.137384713746;1.240450150053;17.00
3;1;3;2;2;2;2;2;2;2;1;1;2;2;2;1;2;1;3;3;3;3;3;3;2;2;2;1;1;2;2;9;10;9;1;1;1;2;1;2;1;2;1;2;2;2;2;2;1;#¡NULO!;2;1;1;2;1;2;3;1;2;1;1;1;1;1;1;4;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;6;2;3;2;2;3;1;2;1;2;3;3;2;1;#¡NULO!;4;1;1;2;#¡NULO!;2;2;2;2;8;#¡NULO!;1;7;7;1;1;10;5;1;10;5;1;3;1;1;98;2;63;18;16;#¡NULO!;5;#¡NULO!;2;#¡NULO!;7;3;3;0;1;1;#¡NULO!;0;81;1;9;1;1;10;8;1;2;1;1;3;1.964;#¡NULO!;0;0;1;3;2;6;0;3;16;4;8;6;3;1;2;2;2;2;1;0;2;0;0;0;0;0;0;1;1;0;0;0;1;1;3;-0.46099;-1.48949;-0.765006020717;-0.890809292757;17.00
5;2;2;2;2;2;2;1;2;2;1;1;2;2;2;2;#¡NULO!;3;3;3;3;3;3;3;2;2;2;2;2;2;2;3;3;4;1;2;1;2;2;2;2;2;2;2;2;2;2;2;6;#¡NULO!;#¡NULO!;2;2;1;1;2;2;1;2;1;2;3;2;3;2;4;3;3;3;3;3;3;1;4;4;4;4;4;4;4;4;4;2;3;10;#¡NULO!;7;#¡NULO!;2;2;2;2;2;2;2;1;2;8;8;8;8;2;8;8;8;8;8;2;2;1;2;77;1;55;26;14;1;1;8;1;0;0;4;4;0;1;1;#¡NULO!;0;81;2;9;2;3;8;8;1;2;8;2;1;1.964;#¡NULO!;0;0;0;4;1;3;1;2;14;4;1;3;1;2;2;2;2;4;1;2;0;0;0;0;1;0;0;1;1;0;0;0;0;1;3;0.01325;0.43268;-1.187920145735;-1.299760395403;17.00
7;2;3;2;2;2;2;2;2;2;1;2;2;2;2;1;2;3;3;3;3;3;3;3;2;2;2;2;2;1;2;9;7;6;2;2;2;1;2;2;2;2;2;2;1;1;#¡NULO!;2;6;#¡NULO!;3;1;2;2;#¡NULO!;1;1;3;1;1;1;2;1;1;3;3;3;3;#¡NULO!;3;3;3;2;2;2;2;2;3;2;3;2;2;3;2;1;#¡NULO!;3;1;1;1;1;2;2;1;1;5;1;1;3;3;1;1;5;5;5;6;1;5;1;3;2;98;2;62;19;14;1;1;9;2;#¡NULO!;8;4;5;0;1;1;#¡NULO!;0;81;1;9;1;1;5;8;1;2;1;1;2;1.964;#¡NULO!;1;0;1;2;3;3;0;2;14;4;5;3;1;1;1;2;1;3;2;0;1;0;0;0;0;0;0;1;0;0;0;0;1;2;3;-0.68653;0.04081;-1.136971380411;-1.229958847242;17.00
8;2;3;1;1;1;2;2;1;2;1;2;2;2;2;1;2;3;3;3;3;3;3;3;2;2;2;2;2;2;2;5;4;5;1;1;1;2;2;1;2;2;2;2;2;1;1;1;1;#¡NULO!;2;1;2;2;3;1;1;3;1;2;3;1;1;1;1;2;3;3;3;3;3;1;3;3;1;2;3;4;1;2;2;2;2;2;1;#¡NULO!;7;2;#¡NULO!;#¡NULO!;#¡NULO!;2;2;2;1;2;2;1;1;1;1;1;99;#¡NULO!;3;5;1;1;1;3;2;1;2;52;29;18;#¡NULO!;5;#¡NULO!;2;#¡NULO!;2;3;6;0;1;1;#¡NULO!;0;81;1;9;2;3;#¡NULO!;8;1;2;2;8;1;1.964;#¡NULO!;0;0;0;4;1;1;0;3;18;4;2;1;1;2;2;2;1;4;2;0;1;0;1;0;0;1;0;1;0;0;0;0;1;3;2;-1.00771;0.45397;0.342402192667;0.334308413236;17.00
11;2;3;2;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;2;1;1;2;2;2;4;6;4;2;2;1;2;2;2;2;2;1;2;2;2;3;2;6;#¡NULO!;2;2;1;1;2;3;3;2;1;2;2;2;3;1;2;4;1;1;1;1;1;3;2;2;3;3;1;3;2;2;4;4;3;1;1;#¡NULO!;4;2;1;1;1;1;1;1;1;7;2;3;4;5;4;7;6;2;1;7;5;4;3;2;3;98;1;58;23;18;1;6;#¡NULO!;2;#¡NULO!;2;2;6;0;2;1;6;0;81;2;9;1;2;6;8;1;2;2;1;3;1.964;#¡NULO!;1;0;0;2;3;3;1;4;18;4;7;3;1;1;1;1;1;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0.55758;-1.52573;0.821353868185;0.867029725469;17.00
14;3;2;1;1;1;1;2;1;2;2;1;2;1;2;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;#¡NULO!;7;5;1;1;1;2;1;2;2;2;1;2;2;1;#¡NULO!;2;6;#¡NULO!;8;1;2;2;2;1;1;3;2;2;1;1;1;1;3;3;2;2;1;2;3;8;2;3;1;3;4;4;1;3;3;2;3;2;1;#¡NULO!;2;1;1;#¡NULO!;1;2;2;#¡NULO!;2;#¡NULO!;1;4;4;1;2;1;4;4;1;1;#¡NULO!;1;3;2;1;4;1;54;27;21;1;1;5;2;#¡NULO!;#¡NULO!;3;6;0;2;1;6;0;81;1;9;2;3;4;8;1;1;1;1;5;1.964;#¡NULO!;0;1;1;2;3;8;1;3;21;4;#¡NULO!;8;3;1;2;2;2;5;2;0;1;0;1;1;0;1;0;0;1;0;1;0;0;2;2;-0.38139;-0.89672;0.616281692567;0.203947217550;17.00
25;3;2;2;#¡NULO!;2;1;2;2;1;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;2;2;1;1;2;2;7;4;#¡NULO!;1;2;1;2;2;2;1;2;2;2;1;1;2;2;6;#¡NULO!;4;2;2;1;1;1;2;4;2;1;1;2;3;1;3;2;2;2;1;2;2;#¡NULO!;#¡NULO!;4;4;4;2;3;4;4;4;4;3;2;8;#¡NULO!;7;2;2;#¡NULO!;2;2;2;2;2;2;2;6;6;6;7;2;8;8;7;8;3;4;5;1;4;77;1;62;19;14;1;3;7;2;#¡NULO!;8;3;3;0;3;1;#¡NULO!;0;81;3;9;1;1;8;8;1;2;2;2;1;1.964;#¡NULO!;0;0;0;4;1;5;1;3;14;4;2;#¡NULO!;4;2;2;2;2;4;0;2;0;1;0;1;0;0;1;0;0;0;0;0;0;3;3;2.48685;0.24126;-0.969410331343;-0.943877614082;17.00
26;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;2;2;2;2;2;2;6;6;6;1;1;1;2;1;2;2;2;2;2;1;1;2;2;1;1;2;1;#¡NULO!;2;1;1;1;4;#¡NULO!;1;1;1;2;1;1;2;2;#¡NULO!;2;#¡NULO!;3;3;2;4;3;3;2;3;3;2;3;4;2;2;10;#¡NULO!;7;2;2;2;2;2;2;2;2;1;2;3;4;3;5;1;5;5;7;6;3;2;4;98;3;2;1;55;26;15;#¡NULO!;1;8;1;0;0;4;3;0;1;1;#¡NULO!;0;81;2;9;2;3;5;8;1;2;2;2;1;1.964;#¡NULO!;0;0;0;4;1;3;1;2;15;4;1;3;1;2;2;2;2;4;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;3;-0.06427;0.33932;-1.229908398634;-1.508400756695;17.00
32;1;1;1;2;2;2;2;1;2;1;2;2;2;1;1;1;3;3;3;3;3;3;3;3;1;1;1;1;2;2;8;4;7;2;1;1;2;2;2;2;2;1;1;2;1;2;1;6;#¡NULO!;3;1;1;2;2;1;1;3;1;1;1;1;1;1;3;4;3;3;3;3;3;8;2;1;1;3;2;1;2;1;1;1;2;2;1;#¡NULO!;4;1;1;1;1;2;2;1;1;5;1;3;1;3;1;5;2;1;1;1;1;1;3;1;1;98;2;63;18;14;2;1;9;2;#¡NULO!;11;4;7;0;1;1;#¡NULO!;0;81;1;9;1;1;2;8;1;2;1;1;2;1.964;#¡NULO!;1;0;1;2;3;8;0;2;14;4;5;8;3;1;1;2;1;3;2;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;3;-0.48160;-0.87915;-1.075072858029;-1.140307579777;17.00
33;2;1;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;3;3;3;3;3;3;3;2;1;1;2;2;1;6;3;5;1;1;1;2;1;1;1;1;2;1;1;2;1;1;6;#¡NULO!;3;2;2;2;3;2;4;3;1;1;1;1;1;1;1;4;2;2;2;2;3;3;2;3;1;3;3;2;1;2;3;2;1;2;1;#¡NULO!;4;1;1;1;1;2;2;1;1;8;1;5;6;5;3;3;3;1;1;1;1;3;3;1;1;98;1;55;26;14;1;1;9;2;#¡NULO!;11;4;2;0;1;1;#¡NULO!;0;81;2;9;2;3;3;8;1;1;1;1;3;1.964;#¡NULO!;0;0;1;3;2;3;1;2;14;4;8;3;1;1;1;2;1;2;0;0;1;2;1;1;0;0;0;0;0;0;1;0;0;1;3;0.94055;-1.01896;-1.676803769732;-1.872586014926;17.00
36;3;4;2;2;1;2;2;1;2;2;1;2;2;2;2;2;3;1;3;3;3;3;3;2;1;1;1;2;1;2;6;4;6;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;1;1;2;4;1;1;1;3;1;3;2;3;2;3;3;3;3;6;3;1;1;2;2;1;1;2;2;2;3;1;1;#¡NULO!;2;2;1;1;1;#¡NULO!;1;1;1;5;1;7;5;4;3;1;2;2;1;2;2;2;4;1;2;98;2;57;24;14;#¡NULO!;5;#¡NULO!;2;#¡NULO!;9;4;1;0;1;1;#¡NULO!;0;81;3;9;1;2;2;8;1;2;2;1;2;1.964;#¡NULO!;1;1;0;1;4;6;0;2;14;4;5;6;3;1;1;1;1;3;0;2;0;1;1;0;0;1;0;0;1;0;0;0;0;2;3;0.78073;0.49263;-1.625067655874;-1.947416824247;17.00
39;2;3;1;1;2;1;2;2;1;1;2;1;2;2;1;2;3;3;3;3;3;3;3;2;2;2;2;2;2;2;3;4;6;2;2;2;2;2;2;2;2;2;1;2;1;1;1;1;2;2;1;#¡NULO!;#¡NULO!;1;1;1;2;1;2;3;1;1;2;1;2;2;3;1;3;3;5;3;3;2;2;3;4;2;3;4;4;4;2;1;#¡NULO!;7;2;1;1;1;#¡NULO!;2;2;1;5;#¡NULO!;3;3;7;7;1;1;3;3;1;7;2;3;1;2;98;1;54;27;21;#¡NULO!;3;2;1;0;0;1;7;0;3;1;#¡NULO!;0;81;2;9;2;3;1;8;1;2;2;1;2;1.964;#¡NULO!;0;0;0;4;1;5;1;5;21;4;5;5;2;1;1;2;1;3;2;1;0;0;0;1;0;0;1;1;0;1;0;0;1;3;2;1.13932;-0.06590;1.530091866871;1.460882732378;17.00
42;2;3;2;1;1;2;2;1;2;1;2;1;2;2;2;2;1;3;3;3;3;3;3;2;2;2;2;1;2;2;7;10;7;1;1;2;1;2;1;2;1;1;1;1;1;2;2;1;#¡NULO!;3;1;2;2;3;1;1;4;1;1;3;1;1;1;1;2;#¡NULO!;3;2;3;3;5;2;3;1;3;4;4;1;1;1;3;1;1;1;#¡NULO!;3;1;1;1;1;2;2;1;2;10;1;1;1;1;1;1;5;1;5;5;7;2;3;4;1;1;2;55;26;21;#¡NULO!;2;4;1;0;0;2;9;0;3;1;#¡NULO!;0;81;2;9;2;3;5;8;1;2;1;1;4;1.964;#¡NULO!;0;0;1;3;2;5;0;4;21;4;10;5;2;1;1;2;2;1;2;0;0;1;1;0;0;1;0;1;0;1;0;0;0;3;3;-0.01862;1.30136;1.734975539053;1.431741496617;17.00
44;3;3;1;2;1;2;1;1;2;1;2;2;2;2;2;1;3;3;3;3;3;3;3;2;2;2;2;2;2;2;7;3;5;1;1;1;2;1;1;1;1;1;1;1;1;1;3;6;#¡NULO!;3;1;2;2;1;1;1;2;#¡NULO!;1;1;1;1;1;3;3;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;3;#¡NULO!;2;3;3;3;3;3;3;3;3;3;1;2;1;#¡NULO!;6;1;1;#¡NULO!;1;#¡NULO!;#¡NULO!;#¡NULO!;1;8;1;2;7;2;2;2;8;7;7;9;#¡NULO!;7;3;1;2;98;2;55;26;21;1;6;#¡NULO!;2;#¡NULO!;12;2;#¡NULO!;0;3;3;#¡NULO!;0;81;2;9;2;3;8;8;1;2;1;1;3;1.964;#¡NULO!;0;0;1;3;2;5;0;4;21;4;8;#¡NULO!;4;1;2;2;1;2;2;1;0;0;1;0;1;1;0;1;0;0;0;0;0;2;3;-0.90006;1.74082;1.467949411670;1.017223485393;17.00
51;3;3;2;2;2;2;2;1;2;1;2;2;2;2;1;2;3;3;3;3;3;3;3;2;1;2;1;1;1;2;10;3;3;1;1;2;1;2;1;2;2;1;1;1;1;1;2;6;#¡NULO!;4;2;2;1;2;1;1;3;2;3;1;1;1;1;3;2;3;3;1;1;3;6;3;4;4;4;4;4;3;4;4;4;2;2;1;#¡NULO!;7;#¡NULO!;1;#¡NULO!;2;2;2;2;2;5;2;1;1;10;3;1;5;5;5;10;2;5;98;98;2;98;2;59;22;21;1;6;#¡NULO!;2;#¡NULO!;12;1;#¡NULO!;0;3;1;#¡NULO!;0;81;1;9;1;2;5;8;1;2;8;1;2;1.964;#¡NULO!;0;0;0;4;1;6;0;5;21;4;5;6;3;1;2;2;2;3;2;0;1;0;0;0;0;1;0;1;0;0;0;0;1;3;1;-0.55174;-0.01506;1.899825582286;1.689455251669;17.00
52;2;3;2;#¡NULO!;2;1;2;1;2;1;2;2;2;2;2;1;3;3;2;3;3;3;3;1;2;2;2;2;2;2;4;7;7;1;1;1;2;1;1;1;1;2;1;1;2;4;2;2;#¡NULO!;8;1;2;1;1;1;2;4;#¡NULO!;1;1;1;2;2;1;2;1;#¡NULO!;1;2;2;3;1;4;3;3;2;2;3;2;3;4;1;2;10;#¡NULO!;7;2;2;2;1;2;2;2;2;2;2;#¡NULO!;6;5;4;1;8;4;8;9;10;5;5;1;2;3;1;56;25;20;#¡NULO!;1;4;1;0;0;2;4;0;3;1;#¡NULO!;0;81;3;9;2;3;8;8;1;2;2;2;1;1.964;#¡NULO!;0;0;0;4;1;3;1;4;20;4;2;3;1;2;2;2;2;4;0;2;0;1;0;1;0;1;0;1;0;0;0;0;0;3;3;1.61415;1.82176;0.835668593731;0.495765995413;17.00
53;2;3;1;1;2;2;1;1;1;2;2;2;2;2;2;1;3;3;3;3;3;3;3;2;2;2;2;1;2;2;4;7;7;1;1;1;1;1;2;1;1;2;1;1;2;2;2;6;#¡NULO!;2;1;1;#¡NULO!;3;1;3;2;1;1;3;1;1;1;3;3;1;3;1;#¡NULO!;#¡NULO!;5;2;2;3;3;3;3;2;3;3;3;2;1;1;#¡NULO!;6;1;1;1;1;#¡NULO!;#¡NULO!;1;1;7;1;3;3;2;1;1;3;2;4;4;5;3;3;1;2;98;2;60;21;21;1;6;#¡NULO!;2;#¡NULO!;8;3;5;0;3;1;#¡NULO!;0;81;2;9;1;2;3;8;1;2;1;1;3;1.964;#¡NULO!;1;0;1;2;3;5;0;3;21;4;7;5;2;1;1;2;1;2;0;1;2;0;0;0;1;1;1;0;0;0;0;0;0;2;3;0.92080;-0.60254;0.013934667298;-0.562151061766;17.00
54;2;1;2;1;2;2;2;1;2;1;2;2;2;2;2;1;3;3;3;3;3;3;3;2;2;2;2;1;2;2;7;8;10;1;1;1;2;1;1;1;2;1;1;2;1;2;1;3;2;5;2;2;2;2;1;1;3;1;1;1;1;1;1;1;2;3;3;1;1;3;8;2;1;1;2;2;3;2;3;3;2;2;1;1;#¡NULO!;7;1;1;1;1;1;1;1;1;8;2;1;1;1;1;1;1;1;2;10;1;1;3;9;1;4;2;55;26;18;#¡NULO!;1;8;1;0;0;3;5;0;3;1;#¡NULO!;0;81;1;9;2;3;1;8;1;2;1;1;3;1.964;#¡NULO!;1;0;1;2;3;8;0;3;18;4;8;8;3;1;1;1;1;2;2;0;1;0;0;0;0;1;0;1;0;0;0;0;0;3;3;-0.35266;1.07288;-0.370456695008;-0.587326573896;17.00
57;1;3;1;1;2;1;2;2;1;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;2;1;2;2;2;8;5;8;1;2;2;2;2;1;1;2;1;2;2;1;1;1;6;#¡NULO!;4;1;2;2;2;2;1;3;1;2;3;2;1;1;1;2;2;2;1;3;3;8;2;4;2;3;3;3;2;4;4;2;1;2;1;#¡NULO!;2;2;1;2;#¡NULO!;2;2;2;2;7;2;1;5;8;7;2;1;2;1;4;9;1;3;1;2;98;1;62;19;21;1;6;#¡NULO!;2;#¡NULO!;2;1;#¡NULO!;0;3;1;6;0;81;1;9;1;1;1;8;1;2;2;1;3;1.964;#¡NULO!;0;1;0;4;1;8;1;5;21;4;7;8;3;1;2;2;2;2;2;0;1;0;0;1;0;0;1;0;0;0;0;0;0;3;2;1.10925;-1.07436;1.849805599164;1.795949449426;17.00
61;3;3;2;#¡NULO!;2;1;2;1;1;1;2;2;2;2;2;#¡NULO!;3;3;3;1;3;3;3;2;2;2;1;2;2;2;7;4;10;1;2;2;2;1;1;2;2;2;1;1;2;3;3;6;#¡NULO!;8;#¡NULO!;2;#¡NULO!;1;1;2;3;2;1;1;2;2;2;3;1;1;1;1;1;2;3;1;4;4;4;4;4;4;4;4;4;2;2;10;#¡NULO!;7;3;2;#¡NULO!;2;2;2;2;2;1;2;8;8;8;8;1;10;10;10;10;10;10;1;2;4;3;1;56;25;21;1;6;#¡NULO!;2;#¡NULO!;4;2;8;0;3;1;#¡NULO!;0;81;2;9;2;3;10;8;1;2;3;2;1;1.964;#¡NULO!;0;0;0;4;1;3;1;4;21;4;1;3;1;2;2;2;2;4;0;2;1;0;0;1;0;1;1;1;0;0;0;0;0;4;3;1.91337;1.20873;1.544178016945;1.293566544143;17.00
62;3;3;2;#¡NULO!;2;1;2;2;1;2;2;2;2;2;2;#¡NULO!;3;3;3;3;3;3;3;2;2;2;2;2;2;2;9;3;8;2;2;2;2;2;1;2;2;2;1;2;2;4;3;6;#¡NULO!;2;2;2;#¡NULO!;1;1;2;4;#¡NULO!;1;1;3;2;2;2;2;1;1;1;2;2;3;1;4;4;4;3;2;4;4;4;4;2;2;10;#¡NULO!;7;3;2;2;2;2;2;2;2;2;2;10;5;5;5;1;10;10;10;10;10;10;1;2;#¡NULO!;3;2;60;21;21;1;6;#¡NULO!;2;#¡NULO!;3;1;9;0;3;1;6;0;81;3;9;1;2;10;8;1;2;3;2;1;1.964;#¡NULO!;0;0;0;4;1;3;0;5;21;4;2;3;1;2;2;2;2;4;0;2;0;1;0;1;0;0;1;0;0;0;0;0;0;3;3;2.48685;0.24126;2.337792542269;2.355974427728;17.00
63;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;3;3;3;3;3;3;3;2;2;2;2;2;2;2;5;8;9;1;1;2;2;1;1;1;1;2;2;1;1;4;3;6;#¡NULO!;3;1;2;1;3;3;1;2;1;2;1;1;1;1;1;3;2;2;2;2;2;4;2;3;2;3;2;3;3;3;3;3;2;2;10;#¡NULO!;7;2;2;2;1;2;2;2;2;2;2;6;3;3;3;3;6;6;6;6;6;3;1;4;2;98;1;54;27;21;1;2;4;2;#¡NULO!;7;2;6;0;3;1;#¡NULO!;0;81;2;9;2;3;6;8;1;2;2;2;1;1.964;#¡NULO!;0;0;0;4;1;4;1;4;21;4;2;4;1;2;2;2;2;4;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;2;2;0.55708;0.33402;0.830628273737;0.452713738307;17.00
67;3;3;2;2;1;2;2;2;1;2;1;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;8;4;#¡NULO!;1;2;1;2;2;1;2;2;2;2;1;1;2;2;6;#¡NULO!;8;1;2;1;1;2;1;3;#¡NULO!;1;3;1;1;1;3;3;2;2;1;2;3;5;2;1;1;3;3;4;1;1;2;2;2;2;1;#¡NULO!;3;2;1;1;1;1;1;1;#¡NULO!;10;1;1;1;1;1;1;99;1;1;6;6;1;3;2;1;98;1;60;21;16;1;7;#¡NULO!;2;#¡NULO!;2;1;9;0;3;1;#¡NULO!;0;81;1;9;1;2;#¡NULO!;8;1;2;2;1;4;1.964;#¡NULO!;1;0;0;2;3;5;1;5;16;4;10;5;2;1;1;1;2;1;2;0;1;0;1;0;0;0;1;0;1;0;0;0;0;2;3;0.02546;-1.33236;1.460768837158;1.876427480002;17.00
70;2;2;2;#¡NULO!;2;1;2;2;2;1;2;2;2;2;2;2;2;3;3;3;3;3;3;2;1;2;1;1;2;2;10;7;5;1;2;1;1;1;1;1;1;1;1;1;1;1;3;6;#¡NULO!;2;1;2;1;3;1;3;4;2;3;3;1;2;2;1;2;1;2;1;2;2;4;#¡NULO!;3;3;2;2;3;2;4;4;2;2;1;1;#¡NULO!;7;2;1;1;1;2;2;2;2;3;2;1;4;4;1;3;7;7;3;10;10;#¡NULO!;3;1;#¡NULO!;98;1;56;25;20;1;1;5;2;#¡NULO!;2;2;#¡NULO!;0;3;1;#¡NULO!;0;81;2;9;2;3;7;8;1;2;2;1;1;1.964;#¡NULO!;0;0;0;4;1;4;1;4;20;4;3;4;1;1;1;2;2;4;0;0;2;1;0;1;0;0;0;1;0;0;0;0;0;3;1;1.40375;-1.42790;1.152777514006;0.993649078401;17.00
71;3;3;2;1;2;1;2;1;1;1;2;2;2;2;2;2;1;3;3;3;3;3;3;2;1;2;2;1;1;2;6;5;8;1;2;1;1;1;1;2;2;2;1;2;1;2;1;6;#¡NULO!;2;2;2;2;3;2;3;1;1;1;1;1;1;1;2;3;2;2;2;2;3;7;2;3;2;2;2;4;1;3;4;2;3;2;1;#¡NULO!;2;3;1;2;1;2;2;2;2;5;2;2;3;3;1;1;3;3;3;#¡NULO!;7;1;3;1;2;98;1;57;24;21;2;6;#¡NULO!;2;#¡NULO!;4;2;#¡NULO!;0;3;1;#¡NULO!;0;81;1;9;1;2;3;8;1;2;3;1;2;1.964;#¡NULO!;0;1;0;4;1;7;1;4;21;4;5;7;3;1;2;2;2;3;1;0;2;0;0;1;0;1;1;1;0;0;0;0;0;2;3;0.96435;-0.26856;1.519919078647;1.203392274285;17.00
76;3;3;2;2;2;2;2;1;2;1;2;1;2;2;2;2;3;3;3;3;3;3;3;2;2;2;2;1;2;2;2;2;5;1;1;2;2;1;1;2;2;2;1;1;2;4;3;6;#¡NULO!;2;2;2;1;1;1;3;2;#¡NULO!;1;3;3;2;1;2;3;2;2;2;2;2;5;2;4;3;3;2;3;3;3;3;3;1;2;1;#¡NULO!;5;1;1;1;1;2;2;2;2;5;2;5;7;7;4;6;10;7;7;7;7;7;5;3;1;98;2;60;21;21;1;2;5;2;#¡NULO!;4;2;7;0;3;1;#¡NULO!;0;81;2;9;1;2;10;8;1;2;1;1;2;1.964;#¡NULO!;0;0;1;3;2;5;0;4;21;4;5;5;2;1;1;2;2;3;0;1;2;0;0;0;0;1;0;1;0;1;0;0;0;2;3;0.67749;0.08753;1.310609490674;1.061830741899;17.00
78;3;3;2;#¡NULO!;2;1;2;1;1;1;2;2;2;2;2;1;3;1;1;1;3;3;3;1;2;2;1;1;2;2;1;3;6;1;1;2;2;1;1;1;1;2;1;1;2;3;3;6;#¡NULO!;1;2;2;1;1;1;2;3;#¡NULO!;1;1;3;3;3;3;1;1;1;1;1;2;1;1;4;4;3;3;2;4;3;4;4;2;2;10;#¡NULO!;7;3;2;2;2;2;2;2;2;1;2;10;10;10;1;1;1;1;9;10;10;3;1;5;#¡NULO!;2;2;54;27;17;1;1;4;1;0;0;2;5;0;3;1;#¡NULO!;0;81;2;9;2;3;1;8;1;2;3;2;1;1.964;#¡NULO!;0;0;0;4;1;1;0;4;17;4;1;1;1;2;2;2;2;4;0;2;1;0;0;1;0;1;1;1;0;0;0;0;0;4;3;1.91337;1.20873;0.742529548512;0.729010892265;17.00
84;3;3;2;2;2;1;2;1;1;2;2;2;2;2;2;1;3;3;3;3;3;3;3;2;2;2;2;2;2;2;7;5;5;1;2;2;2;1;1;1;1;1;1;1;#¡NULO!;4;3;6;#¡NULO!;8;1;1;1;1;1;#¡NULO!;#¡NULO!;#¡NULO!;3;1;1;3;1;3;2;1;1;1;2;2;2;#¡NULO!;2;2;2;2;2;2;2;2;2;2;2;10;#¡NULO!;7;3;2;2;2;2;2;2;2;1;2;1;10;1;5;1;10;10;10;10;#¡NULO!;#¡NULO!;3;4;4;3;1;56;25;21;2;3;3;1;0;0;1;6;0;3;1;#¡NULO!;0;81;9;9;2;3;10;8;1;2;3;2;1;1.964;#¡NULO!;1;0;0;2;3;2;1;5;21;4;1;2;1;2;2;2;2;4;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;3;1;1.71098;-0.63575;1.903803953475;1.732927568610;17.00
94;1;3;1;1;1;2;2;2;2;2;1;2;1;2;2;2;3;3;3;1;3;3;3;2;1;2;2;1;2;2;7;7;6;1;2;2;2;2;2;2;2;2;1;2;2;2;3;6;#¡NULO!;2;1;1;2;1;1;2;4;1;1;1;3;2;1;1;3;1;1;#¡NULO!;2;1;5;2;2;2;3;3;3;3;3;3;3;1;2;1;#¡NULO!;2;1;1;#¡NULO!;#¡NULO!;2;#¡NULO!;#¡NULO!;#¡NULO!;8;1;2;5;5;7;1;6;4;1;10;1;1;1;2;1;77;1;56;25;21;1;6;#¡NULO!;2;#¡NULO!;12;1;#¡NULO!;0;3;1;#¡NULO!;0;81;3;9;2;3;6;8;1;1;1;1;3;1.964;#¡NULO!;1;1;1;1;4;5;1;5;21;4;8;5;2;1;2;2;2;2;0;2;0;1;1;0;0;0;0;0;1;0;1;0;0;2;3;0.53971;-0.07995;1.899825582286;1.689455251669;17.00
