NENTREVI;TIPORELI;prelig;impdio;configle;misa;dios;vidadesp;infierno;pecado;homosex;prostit;aborto;divorcio;eutana;suicid;INDIVIDU;Material;postmat;ideolog;ideolor;SEXO;ecivil;edad;estudi;ocupac;clase
371;3.00;1;3;3;2;1.00;2.00;2.00;1.00;3;3;3;3;4;4;-1.16178;1.47242;1;5;2.00;1;1;68.00;13;11;4
381;4.00;2;2;3;2;1.00;2.00;2.00;2.00;2;2;3;1;3;2;0.24542;0.94964;1;99;4.00;1;1;48.00;13;10;3
388;3.00;1;1;4;3;1.00;2.00;2.00;2.00;1;1;1;1;1;1;0.09215;-0.80828;2;99;4.00;1;1;24.00;14;8;3
389;3.00;1;6;3;2;1.00;1.00;1.00;1.00;99;99;99;99;99;99;-1.32857;0.32390;1;99;4.00;2;1;52.00;14;99;3
392;1.00;1;99;2;1;2.00;2.00;2.00;2.00;1;1;1;1;1;1;-0.98791;-0.90292;9;99;4.00;1;1;62.00;14;9;4
395;1.00;1;8;2;1;1.00;2.00;2.00;1.00;1;1;1;1;1;1;-0.85787;-0.42134;1;5;2.00;2;1;75.00;12;99;3
398;4.00;2;8;3;3;2.00;2.00;2.00;2.00;1;8;99;8;8;99;0.27168;-0.52804;2;3;1.00;1;6;31.00;15;7;3
400;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;1;3;1;1;-0.31441;0.32383;1;5;2.00;2;1;36.00;15;99;3
403;2.00;2;8;2;2;1.00;1.00;1.00;1.00;1;1;2;4;1;1;0.41905;-0.74478;2;5;2.00;1;1;30.00;16;8;3
409;3.00;1;6;3;2;1.00;1.00;1.00;1.00;1;1;2;4;1;1;-0.52359;-0.07000;1;5;2.00;1;6;20.00;21;99;1
411;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;1;4;1;1;1.03659;-1.22094;3;5;2.00;1;1;48.00;21;3;2
415;4.00;2;6;3;3;1.00;2.00;2.00;1.00;4;3;1;6;2;4;0.17374;0.74972;1;6;3.00;1;1;39.00;19;5;3
417;1.00;1;10;2;1;1.00;1.00;1.00;1.00;5;2;2;3;5;2;1.49228;3.10178;1;5;2.00;2;5;73.00;12;99;2
426;1.00;2;8;1;1;1.00;2.00;2.00;1.00;10;2;2;5;1;1;-0.32313;-0.95019;2;99;4.00;2;6;19.00;21;99;3
429;1.00;1;10;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.09096;0.85022;1;99;4.00;2;5;72.00;12;99;4
432;3.00;1;10;4;3;1.00;1.00;2.00;1.00;1;5;5;10;1;5;0.81824;0.49670;9;99;4.00;2;4;31.00;18;4;2
433;2.00;2;3;1;2;1.00;2.00;2.00;1.00;1;1;1;5;99;1;0.46217;0.25826;9;99;4.00;1;6;22.00;14;8;4
435;4.00;2;7;4;3;1.00;2.00;2.00;2.00;1;1;5;5;1;1;-0.21648;-0.65864;2;99;4.00;1;1;65.00;12;7;4
444;3.00;1;7;3;2;1.00;1.00;1.00;1.00;5;5;2;5;3;5;0.32023;-0.51288;2;8;3.00;1;1;59.00;15;4;2
450;2.00;1;10;2;2;1.00;1.00;1.00;1.00;1;1;5;7;1;1;-0.38600;-1.59974;2;4;1.00;1;1;80.00;12;8;4
456;4.00;2;6;3;3;1.00;2.00;2.00;2.00;7;7;2;5;1;6;-0.22456;-1.27580;2;1;1.00;1;1;53.00;12;7;3
460;4.00;2;1;4;3;1.00;2.00;2.00;2.00;10;10;10;10;10;5;-0.40988;-0.48091;2;99;4.00;1;6;20.00;14;7;4
