NENTREVI;TIPORELI;prelig;impdio;configle;misa;dios;vidadesp;infierno;pecado;homosex;prostit;aborto;divorcio;eutana;suicid;INDIVIDU;Material;postmat;ideolog;ideolor;SEXO;ecivil;edad;estudi;ocupac;clase
1.023;4.00;2;1;4;3;1.00;2.00;2.00;2.00;10;5;10;10;10;1;2.19624;-1.07373;3;3;1.00;2;6;23.00;18;6;3
1.030;4.00;3;1;3;3;2.00;2.00;2.00;2.00;5;4;4;4;2;2;0.51776;0.35324;1;99;4.00;1;6;22.00;14;7;4
1.031;4.00;2;99;3;3;2.00;2.00;2.00;2.00;6;4;2;7;4;2;0.24078;0.40211;2;99;4.00;2;1;25.00;14;99;3
1.034;1.00;1;8;1;1;1.00;1.00;1.00;1.00;2;1;1;1;3;5;-1.32857;0.32390;1;99;4.00;1;5;56.00;21;11;4
1.038;4.00;2;9;4;3;1.00;1.00;2.00;2.00;99;1;7;10;10;1;2.22856;-1.01645;3;5;2.00;1;1;53.00;18;4;2
1.039;2.00;2;7;2;2;1.00;1.00;2.00;1.00;10;10;1;1;1;1;0.55889;-0.61381;2;7;3.00;1;1;64.00;12;7;4
1.040;2.00;1;10;1;2;1.00;1.00;2.00;1.00;1;1;1;1;1;1;1.08968;-0.62068;3;99;4.00;1;1;54.00;12;7;4
1.048;2.00;1;6;3;1;1.00;1.00;2.00;1.00;5;5;5;8;8;3;-0.32313;-0.95019;2;4;1.00;2;1;30.00;20;8;3
1.050;1.00;1;7;1;1;1.00;1.00;2.00;1.00;1;1;1;3;7;1;-1.00932;0.14742;1;99;4.00;2;1;42.00;14;2;3
1.052;1.00;1;9;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.69373;-0.38154;1;99;4.00;2;1;52.00;15;2;2
1.055;3.00;1;5;3;2;1.00;2.00;2.00;1.00;1;1;1;4;1;4;-0.18312;-0.20326;2;99;4.00;1;5;75.00;14;7;3
1.056;4.00;2;8;3;2;1.00;2.00;2.00;2.00;99;1;99;99;2;99;-0.57049;-1.15486;2;99;4.00;2;1;66.00;18;99;3
1.057;1.00;1;8;1;1;1.00;2.00;1.00;1.00;99;1;1;3;99;1;-1.16993;-0.52653;1;99;4.00;1;1;52.00;14;9;4
1.058;1.00;1;9;2;1;1.00;1.00;1.00;1.00;5;1;1;5;1;2;-0.75109;-1.05633;2;6;3.00;2;6;20.00;21;99;1
1.059;1.00;1;9;1;1;1.00;1.00;1.00;1.00;1;1;1;1;2;1;-0.85323;-0.05901;1;99;4.00;2;6;66.00;16;99;2
1.064;3.00;1;10;3;2;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.27658;0.42501;1;10;3.00;1;1;56.00;21;4;2
1.067;2.00;1;2;3;1;1.00;2.00;2.00;2.00;1;1;5;10;1;1;0.88827;1.88326;1;99;4.00;1;1;59.00;12;7;3
1.081;1.00;1;10;1;1;1.00;2.00;2.00;1.00;4;3;1;1;1;1;-0.30014;0.45639;1;99;4.00;2;1;35.00;17;99;3
1.082;1.00;1;7;1;1;1.00;2.00;2.00;1.00;3;2;1;1;1;1;-0.95330;0.14573;1;99;4.00;1;5;68.00;20;5;3
1.085;2.00;1;10;1;2;1.00;1.00;2.00;1.00;6;1;1;10;99;1;0.35623;0.25207;2;99;4.00;1;1;42.00;21;4;2
1.089;1.00;1;10;1;1;1.00;2.00;2.00;1.00;1;1;1;1;1;1;-0.77504;-1.18635;2;99;4.00;2;6;60.00;12;99;4
1.093;4.00;2;3;3;2;1.00;2.00;2.00;2.00;3;3;2;5;3;3;-0.56668;1.07173;1;7;3.00;1;1;68.00;12;8;4
1.094;2.00;1;8;1;2;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.98677;-0.93618;2;5;2.00;2;1;50.00;12;9;4
1.103;3.00;1;99;4;3;2.00;2.00;2.00;1.00;5;1;5;10;1;1;0.77949;-0.88127;2;4;1.00;2;1;59.00;14;99;3
1.106;3.00;1;5;3;2;1.00;1.00;2.00;1.00;5;5;5;8;9;3;2.72480;-0.26868;3;3;1.00;1;1;37.00;21;2;1
1.108;4.00;2;5;3;2;1.00;1.00;2.00;1.00;7;7;1;5;7;1;0.57818;2.89711;1;7;3.00;1;6;21.00;20;2;3
1.112;3.00;1;10;3;3;1.00;1.00;2.00;2.00;7;5;3;10;5;1;2.19624;-1.07373;3;4;1.00;2;1;34.00;15;99;2
1.120;3.00;1;6;3;2;1.00;1.00;1.00;1.00;5;3;5;8;6;1;2.07600;1.83405;3;1;1.00;1;1;38.00;21;4;2
1.124;3.00;1;5;3;2;1.00;2.00;2.00;1.00;1;1;1;5;10;1;-0.12859;-0.10330;1;99;4.00;2;1;23.00;15;99;1
1.130;3.00;1;7;4;3;1.00;2.00;2.00;1.00;8;3;6;10;1;2;1.45582;-0.75172;3;1;1.00;1;6;26.00;21;99;2
1.135;4.00;2;3;3;1;1.00;2.00;2.00;1.00;1;1;1;1;1;1;0.92431;-0.77887;2;1;1.00;1;1;64.00;12;6;3
1.137;2.00;1;8;4;1;1.00;2.00;2.00;1.00;7;1;3;10;2;2;0.91314;-0.63187;9;3;1.00;2;6;19.00;14;8;4
1.138;2.00;1;9;2;2;1.00;1.00;1.00;1.00;1;1;1;5;10;1;-0.30893;-0.07234;2;6;3.00;1;6;27.00;13;7;3
1.140;1.00;1;7;2;1;1.00;1.00;1.00;1.00;1;1;2;6;1;1;0.24204;0.61446;1;5;2.00;1;1;58.00;14;2;1
1.145;1.00;1;7;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.41868;0.54342;1;99;4.00;2;1;35.00;21;3;1
1.151;4.00;2;7;4;2;1.00;2.00;2.00;1.00;1;10;2;10;10;1;0.20697;-0.10369;2;3;1.00;2;1;24.00;14;99;4
1.154;3.00;1;99;3;2;1.00;1.00;2.00;1.00;1;5;5;2;4;1;-0.63065;-0.08383;2;99;4.00;2;1;59.00;12;99;4
1.160;4.00;2;99;4;2;1.00;2.00;2.00;1.00;1;3;1;2;1;1;-1.02186;-0.10127;1;99;4.00;1;1;42.00;14;2;1
1.162;4.00;2;3;3;2;1.00;1.00;2.00;1.00;5;5;5;1;5;1;-1.38167;-0.27635;1;99;4.00;1;1;31.00;14;2;1
1.168;2.00;1;9;1;2;1.00;2.00;2.00;1.00;1;1;1;10;99;1;-0.89057;-0.62836;2;99;4.00;2;6;22.00;17;8;4
1.183;4.00;2;3;3;3;1.00;2.00;2.00;2.00;3;3;2;4;2;1;-0.90097;-0.12890;1;4;1.00;1;1;51.00;14;7;3
1.190;1.00;1;10;2;1;1.00;1.00;2.00;1.00;1;3;1;5;2;1;-1.22105;0.39760;1;8;3.00;2;1;56.00;14;99;1
1.198;2.00;2;99;2;2;1.00;2.00;2.00;2.00;1;1;1;1;1;1;-0.23151;0.80768;1;99;4.00;1;1;58.00;12;8;4
1.201;1.00;1;5;2;1;1.00;2.00;2.00;1.00;1;1;1;1;5;1;-0.31116;0.61712;1;99;4.00;1;1;79.00;12;8;4
1.203;3.00;1;7;4;3;1.00;2.00;2.00;2.00;3;6;8;9;2;1;0.23919;0.06243;1;3;1.00;1;6;27.00;21;2;1
1.204;2.00;1;7;1;2;1.00;2.00;2.00;2.00;1;1;1;1;1;2;-0.16054;0.39837;1;5;2.00;1;1;71.00;12;8;4
1.206;3.00;1;8;3;3;1.00;2.00;2.00;2.00;2;1;2;2;1;2;-0.85787;-0.42134;1;6;3.00;2;1;46.00;14;99;3
1.213;1.00;2;99;2;1;1.00;2.00;2.00;2.00;1;1;1;1;1;1;-0.73418;1.01961;1;5;2.00;1;1;56.00;12;10;3
1.221;2.00;1;7;1;2;1.00;2.00;2.00;1.00;1;1;6;6;1;1;-0.88256;-1.26005;2;5;2.00;1;6;50.00;13;5;2
1.225;1.00;1;10;1;1;1.00;1.00;2.00;2.00;1;1;5;5;1;1;-0.46205;-0.19811;9;99;4.00;2;1;63.00;14;99;3
1.231;3.00;1;7;3;2;1.00;2.00;2.00;1.00;5;5;6;6;1;1;-0.18969;-0.07186;1;99;4.00;1;1;73.00;12;10;3
1.252;1.00;1;10;2;1;1.00;1.00;1.00;1.00;3;1;1;3;3;1;-1.23104;-0.49510;1;99;4.00;1;1;49.00;13;2;2
1.254;1.00;1;6;2;1;1.00;1.00;1.00;1.00;5;2;8;7;1;1;1.18984;1.62224;2;5;2.00;1;1;58.00;21;3;2
1.256;4.00;2;4;3;1;1.00;1.00;1.00;1.00;7;7;2;7;8;3;1.79937;-1.08851;3;4;1.00;1;6;23.00;21;99;2
1.257;4.00;2;5;3;3;1.00;1.00;2.00;1.00;8;2;5;5;5;6;1.60382;-1.28003;3;3;1.00;1;6;21.00;21;99;3
1.263;4.00;3;1;4;3;2.00;2.00;2.00;2.00;9;9;7;6;7;7;1.82307;-1.14748;3;2;1.00;2;6;24.00;16;5;2
1.266;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;0.76172;4.16012;1;7;3.00;1;5;78.00;21;4;2
1.275;1.00;2;9;2;1;1.00;1.00;2.00;1.00;5;5;1;6;6;1;-0.36163;0.32642;1;5;2.00;1;1;44.00;15;12;2
1.280;3.00;1;8;3;3;1.00;1.00;2.00;1.00;2;2;1;3;1;1;0.17272;-0.30986;9;4;1.00;1;1;35.00;21;4;2
1.282;4.00;3;1;4;3;2.00;2.00;2.00;2.00;1;1;10;10;10;5;1.31025;-0.42809;9;1;1.00;1;6;32.00;21;3;3
1.289;4.00;3;1;3;3;2.00;2.00;2.00;2.00;5;4;6;10;7;1;0.78225;-0.26825;9;3;1.00;1;1;29.00;15;7;3
1.295;3.00;1;3;3;3;1.00;2.00;2.00;1.00;1;1;10;10;1;1;0.06056;3.51666;1;3;1.00;2;6;23.00;18;4;4
1.298;1.00;1;9;1;1;1.00;1.00;2.00;1.00;1;1;1;1;1;1;0.41960;0.22010;2;1;1.00;1;1;25.00;18;4;2
1.299;4.00;2;7;3;3;1.00;2.00;2.00;1.00;5;3;6;8;8;1;-0.55629;-0.27701;2;4;1.00;2;6;21.00;21;99;2
1.300;1.00;1;8;1;1;1.00;1.00;2.00;1.00;2;3;4;4;3;1;0.04976;-0.05359;2;4;1.00;2;1;45.00;14;99;3
1.302;3.00;1;5;3;3;1.00;2.00;2.00;1.00;10;5;1;10;10;8;1.62103;0.05712;2;4;1.00;1;1;30.00;21;3;1
1.303;4.00;2;3;4;3;2.00;1.00;1.00;1.00;7;7;4;8;7;8;1.55201;-1.29318;3;2;1.00;1;6;19.00;18;9;4
1.316;2.00;1;9;3;1;1.00;1.00;1.00;1.00;1;1;1;7;1;1;-0.58128;-0.80514;2;99;4.00;1;6;37.00;16;6;3
1.318;4.00;2;1;4;2;2.00;2.00;2.00;2.00;10;10;10;10;10;10;2.28166;-0.41619;3;2;1.00;1;4;40.00;18;4;2
1.323;1.00;1;10;1;1;1.00;1.00;2.00;1.00;1;1;1;1;1;1;-0.73075;0.43823;1;6;3.00;1;1;52.00;14;4;2
1.324;3.00;1;5;3;2;1.00;1.00;2.00;2.00;10;10;10;10;10;1;1.04737;-1.57066;3;99;4.00;1;6;24.00;14;2;3
1.327;1.00;1;10;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.89600;0.54594;2;99;4.00;2;6;20.00;18;5;3
1.328;1.00;1;9;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;0.03549;0.53020;1;8;3.00;1;1;65.00;14;10;3
1.333;3.00;1;8;3;3;1.00;2.00;2.00;1.00;7;2;7;8;8;5;-0.01537;-0.88198;2;99;4.00;2;1;26.00;15;99;3
1.338;3.00;1;5;3;2;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.28649;-0.89435;2;99;4.00;1;1;62.00;15;10;3
1.340;4.00;2;5;4;3;1.00;2.00;2.00;1.00;4;1;1;7;6;1;0.88107;0.71532;2;99;4.00;2;1;35.00;14;99;4
1.345;1.00;1;10;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.80013;0.54125;1;6;3.00;2;1;66.00;15;99;3
1.348;4.00;3;1;4;3;2.00;2.00;2.00;2.00;10;10;10;10;5;10;2.59292;2.49610;2;2;1.00;1;6;25.00;21;4;2
1.351;3.00;1;5;3;3;1.00;2.00;2.00;2.00;5;5;1;10;1;1;-0.00445;0.19194;1;2;1.00;1;1;26.00;16;7;3
1.354;3.00;1;7;3;3;1.00;2.00;2.00;1.00;10;10;5;10;10;7;1.69185;-1.16221;3;2;1.00;2;6;20.00;21;99;3
1.360;2.00;1;8;99;1;1.00;1.00;2.00;1.00;1;1;4;6;3;1;0.35922;-1.08607;9;5;2.00;2;5;53.00;20;2;1
1.367;3.00;1;8;3;2;1.00;1.00;2.00;1.00;6;5;5;5;6;1;2.19624;-1.07373;3;99;4.00;1;2;25.00;16;7;4
1.368;1.00;1;10;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.09543;-0.97661;9;6;3.00;2;6;67.00;12;8;3
1.373;2.00;1;5;3;1;2.00;2.00;2.00;2.00;5;5;1;10;99;1;0.52571;0.49663;2;6;3.00;2;1;38.00;12;2;2
1.378;4.00;2;3;3;2;1.00;2.00;2.00;2.00;1;1;5;5;1;1;0.82211;-0.89628;2;4;1.00;2;6;19.00;21;99;2
1.380;4.00;3;2;4;3;1.00;2.00;2.00;2.00;1;1;4;8;1;1;1.09560;-0.46805;2;3;1.00;2;1;26.00;18;8;3
1.382;1.00;1;7;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.53695;0.03133;1;6;3.00;2;1;47.00;16;99;3
1.387;1.00;1;10;2;1;1.00;1.00;1.00;1.00;2;1;1;1;1;1;-1.13600;0.49619;1;10;3.00;2;5;73.00;18;99;1
1.392;3.00;1;3;3;2;2.00;2.00;2.00;1.00;1;1;3;4;6;4;0.57838;-0.65793;2;4;1.00;1;5;71.00;13;8;3
1.395;4.00;2;4;3;2;1.00;2.00;2.00;2.00;1;1;3;3;5;1;-0.27224;0.19737;2;5;2.00;1;1;33.00;17;8;4
1.400;1.00;1;5;2;1;1.00;2.00;2.00;2.00;1;1;1;1;1;2;1.24302;0.73800;2;8;3.00;2;1;42.00;21;99;1
1.404;1.00;1;6;1;1;1.00;1.00;1.00;1.00;5;5;2;5;4;5;-0.95540;0.39766;1;7;3.00;2;1;71.00;13;99;3
1.417;2.00;2;2;2;2;1.00;1.00;2.00;1.00;6;2;4;1;2;3;2.09018;4.16967;1;6;3.00;2;6;20.00;16;99;3
1.419;1.00;1;9;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.18910;-0.10407;1;6;3.00;1;1;79.00;12;10;3
1.420;1.00;1;7;2;1;1.00;2.00;1.00;1.00;1;1;1;1;1;1;-1.00511;0.13257;1;5;2.00;2;6;20.00;21;99;3
1.423;1.00;1;8;1;1;1.00;2.00;1.00;1.00;1;1;1;1;1;1;-1.18910;-0.10407;1;7;3.00;1;1;29.00;14;10;3
1.426;2.00;1;6;1;2;1.00;1.00;1.00;1.00;2;3;3;4;4;5;0.55782;-0.35750;2;5;2.00;2;1;56.00;12;99;3
1.430;1.00;1;7;2;1;1.00;2.00;2.00;2.00;1;2;5;5;5;5;-0.17089;1.60496;1;4;1.00;1;1;52.00;16;10;3
1.431;1.00;1;10;1;1;1.00;1.00;2.00;1.00;1;1;3;2;5;3;-1.00849;-0.20260;1;6;3.00;2;1;46.00;13;99;3
1.432;1.00;1;10;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;5;-0.05294;-0.58664;2;8;3.00;2;1;41.00;17;99;3
1.434;2.00;1;6;3;1;1.00;2.00;2.00;1.00;2;3;3;4;7;4;0.52909;0.96840;1;6;3.00;1;1;33.00;18;8;3
1.438;2.00;1;5;2;2;1.00;1.00;2.00;2.00;6;4;8;7;2;4;0.79883;3.02415;1;6;3.00;1;1;46.00;14;10;3
1.439;1.00;2;5;1;1;1.00;1.00;1.00;2.00;4;4;3;3;4;4;0.62529;1.27622;1;6;3.00;2;1;41.00;12;99;3
1.442;2.00;2;2;2;2;2.00;1.00;2.00;1.00;1;1;1;1;1;1;-0.08388;0.96725;1;7;3.00;2;5;70.00;16;99;4
1.445;1.00;1;7;2;1;1.00;2.00;1.00;2.00;1;3;1;1;1;1;-0.62969;-0.42155;9;99;4.00;1;6;19.00;15;10;3
1.450;2.00;1;8;2;2;1.00;1.00;1.00;1.00;1;1;1;3;5;1;-1.32056;-0.30779;1;8;3.00;1;1;43.00;19;4;2
1.455;1.00;1;6;2;1;1.00;1.00;2.00;2.00;3;2;3;2;3;1;0.11918;-0.03251;2;5;2.00;2;1;63.00;14;99;1
1.457;2.00;2;6;1;2;1.00;1.00;1.00;1.00;1;1;1;1;1;1;0.35014;2.23584;2;4;1.00;2;1;71.00;12;99;1
1.461;1.00;2;5;1;1;1.00;2.00;1.00;2.00;1;1;1;1;1;1;-1.01115;1.25367;1;8;3.00;2;1;33.00;16;99;3
1.465;2.00;1;7;2;2;1.00;2.00;1.00;1.00;1;1;3;8;1;1;-0.74614;-0.36250;1;6;3.00;2;1;36.00;21;4;1
1.469;1.00;1;8;1;1;1.00;2.00;1.00;1.00;1;1;1;1;1;1;-1.64064;0.21872;1;7;3.00;2;1;66.00;12;99;4
1.485;4.00;2;3;3;2;1.00;2.00;2.00;2.00;1;1;5;5;1;2;1.74366;-1.14905;3;4;1.00;2;1;23.00;21;4;2
1.486;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.48455;0.01229;1;5;2.00;2;1;66.00;12;99;4
1.489;2.00;1;6;3;1;1.00;1.00;1.00;1.00;2;3;2;2;6;3;-0.39401;-0.96805;2;6;3.00;2;1;31.00;14;99;3
1.492;4.00;2;3;4;3;2.00;2.00;2.00;2.00;1;4;3;10;10;5;1.02051;-0.47106;2;4;1.00;1;1;71.00;12;8;4
1.495;1.00;1;6;2;1;1.00;1.00;2.00;1.00;1;1;1;3;1;2;0.10550;2.11797;1;6;3.00;1;1;36.00;17;6;3
1.496;1.00;1;7;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.48455;0.01229;1;8;3.00;2;1;41.00;18;5;3
1.504;2.00;2;8;2;2;1.00;1.00;2.00;1.00;1;1;1;1;1;1;-0.73615;0.53020;1;7;3.00;1;1;58.00;18;5;2
1.515;3.00;1;3;3;2;1.00;2.00;2.00;1.00;1;1;1;1;7;4;1.61690;0.25842;2;4;1.00;1;6;18.00;18;10;3
1.517;2.00;1;6;3;1;1.00;1.00;2.00;2.00;1;3;4;6;10;5;0.67667;0.65623;2;4;1.00;1;6;18.00;21;99;3
1.533;1.00;1;10;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.24574;-0.44110;2;6;3.00;2;1;44.00;13;99;3
1.534;3.00;1;4;3;2;1.00;1.00;2.00;1.00;2;5;5;5;4;2;-0.40715;2.47218;1;4;1.00;1;6;24.00;14;10;3
1.541;3.00;1;7;3;2;1.00;2.00;2.00;2.00;1;1;5;10;1;1;-0.78337;-0.87142;9;5;2.00;1;1;44.00;21;3;1
1.545;4.00;99;99;99;3;2.00;2.00;2.00;2.00;6;5;99;8;1;1;0.54236;-0.00424;2;99;4.00;2;6;24.00;16;8;4
1.546;4.00;99;7;3;3;2.00;2.00;2.00;2.00;5;99;99;10;1;1;1.56200;-0.40048;3;4;1.00;2;6;19.00;21;99;3
1.549;4.00;2;5;3;2;1.00;2.00;2.00;2.00;3;3;99;99;99;2;-1.38167;-0.27635;1;99;4.00;1;6;61.00;13;7;2
1.552;3.00;1;6;3;2;1.00;1.00;1.00;1.00;1;1;99;99;1;99;-0.18716;0.54240;1;99;4.00;2;1;41.00;13;99;3
1.560;3.00;1;9;3;2;1.00;1.00;2.00;1.00;5;1;1;5;1;1;-0.39634;0.14857;1;5;2.00;2;1;36.00;14;5;2
1.569;4.00;2;8;3;2;1.00;2.00;2.00;1.00;1;1;5;6;4;1;-1.12352;-0.42140;1;4;1.00;2;1;36.00;16;99;2
1.576;3.00;1;6;3;2;1.00;2.00;2.00;1.00;6;4;4;4;1;1;-0.10896;-0.58494;2;5;2.00;2;6;24.00;21;99;3
1.582;1.00;1;10;2;1;1.00;2.00;2.00;1.00;1;1;1;1;1;1;-0.24571;-0.07017;1;6;3.00;2;1;57.00;16;99;2
1.584;2.00;1;10;3;1;1.00;1.00;1.00;1.00;1;1;3;6;2;1;1.28077;2.51955;2;6;3.00;1;1;58.00;21;3;1
1.587;4.00;2;5;99;1;1.00;1.00;2.00;1.00;99;99;99;5;99;99;1.30281;-0.74882;2;99;4.00;2;6;23.00;18;5;1
1.590;3.00;1;9;3;2;1.00;2.00;2.00;1.00;1;1;1;1;1;1;-0.94366;-1.22862;2;99;4.00;2;1;30.00;15;2;3
1.604;1.00;1;9;2;1;1.00;2.00;2.00;1.00;5;5;1;8;1;1;-1.23104;-0.49510;1;3;1.00;2;1;29.00;14;8;2
1.606;1.00;1;9;1;1;1.00;1.00;2.00;1.00;1;1;1;7;1;1;-0.88256;-1.26005;2;99;4.00;2;1;46.00;12;2;3
1.610;2.00;1;7;1;2;1.00;2.00;2.00;1.00;1;1;1;1;1;1;-1.23104;-0.49510;1;99;4.00;2;5;70.00;16;99;4
1.611;2.00;2;4;2;3;1.00;1.00;1.00;2.00;1;2;1;5;4;2;-1.23104;-0.49510;1;6;3.00;1;1;29.00;21;3;1
1.628;2.00;1;10;1;2;1.00;2.00;2.00;1.00;1;1;6;10;1;1;-0.78305;-0.55466;2;99;4.00;1;6;22.00;14;8;4
1.635;2.00;1;10;1;2;1.00;2.00;2.00;1.00;1;1;1;1;1;1;-0.83614;-1.15492;2;99;4.00;1;5;79.00;12;11;4
1.637;4.00;2;5;3;2;1.00;1.00;2.00;2.00;10;10;9;10;8;8;2.04825;-0.54542;3;99;4.00;1;6;22.00;21;4;2
1.642;4.00;2;1;3;3;1.00;2.00;2.00;2.00;1;5;1;5;9;1;-0.90135;-0.27864;2;5;2.00;1;6;22.00;14;99;3
1.656;2.00;1;6;3;1;1.00;1.00;2.00;1.00;1;1;1;7;1;1;0.09015;0.62085;2;5;2.00;1;1;60.00;21;3;1
1.673;1.00;1;7;2;1;1.00;2.00;1.00;1.00;8;8;5;8;1;99;-0.29814;-0.42206;2;3;1.00;2;1;45.00;13;99;4
1.674;4.00;2;1;4;3;2.00;2.00;2.00;1.00;99;5;99;10;1;99;0.03780;-1.43571;2;3;1.00;1;1;36.00;14;2;3
1.679;1.00;1;7;2;1;1.00;2.00;2.00;2.00;99;1;1;1;1;1;0.17624;1.11755;2;9;3.00;2;6;19.00;12;99;2
1.682;4.00;99;6;3;1;1.00;1.00;1.00;1.00;6;5;4;4;7;6;-0.14757;1.69980;2;6;3.00;1;5;57.00;12;7;3
1.684;2.00;99;1;1;3;2.00;2.00;2.00;2.00;2;2;2;3;7;4;0.38038;0.34408;2;99;4.00;1;1;29.00;13;9;4
1.695;4.00;2;4;99;2;1.00;2.00;2.00;2.00;4;6;5;4;8;6;2.23990;-0.40129;3;4;1.00;1;6;51.00;12;10;3
1.697;1.00;1;8;2;1;1.00;1.00;1.00;1.00;1;1;1;5;6;2;-0.37792;-0.98257;2;8;3.00;1;1;42.00;21;4;2
1.699;1.00;1;6;2;1;1.00;2.00;2.00;2.00;3;8;5;4;8;5;1.30009;4.31851;2;8;3.00;1;1;55.00;12;11;4
1.701;2.00;2;6;2;2;1.00;1.00;1.00;1.00;7;8;7;6;8;9;-0.53046;1.40113;1;7;3.00;2;5;66.00;12;99;3
1.703;1.00;1;99;1;1;1.00;1.00;2.00;2.00;7;6;1;7;1;1;0.49235;0.04125;2;99;4.00;1;1;41.00;12;11;4
1.710;1.00;1;10;2;1;1.00;1.00;1.00;1.00;1;1;1;3;1;1;-1.32056;-0.30779;1;8;3.00;1;1;69.00;20;4;2
1.718;1.00;1;7;2;1;1.00;1.00;1.00;1.00;1;1;2;2;3;3;-0.17905;0.03422;2;5;2.00;1;6;18.00;20;99;3
1.720;3.00;1;3;4;2;1.00;2.00;2.00;2.00;1;2;3;3;1;5;0.46953;-0.74938;2;3;1.00;2;6;18.00;21;99;3
1.725;4.00;99;5;4;3;1.00;2.00;2.00;2.00;1;4;1;5;5;1;-0.01537;-0.88198;2;5;2.00;2;6;35.00;21;5;2
1.733;2.00;1;5;2;2;1.00;2.00;2.00;1.00;3;3;2;1;1;1;-0.24997;1.53925;1;99;4.00;1;6;22.00;19;7;3
1.736;1.00;1;8;1;1;1.00;2.00;2.00;2.00;99;99;99;99;99;1;-0.63798;1.32743;1;6;3.00;2;1;80.00;12;99;4
1.739;2.00;1;9;2;3;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.67585;-0.79773;9;9;3.00;1;6;52.00;15;2;3
1.740;1.00;1;8;2;1;1.00;1.00;2.00;1.00;1;1;1;3;2;8;-0.64321;-0.42368;2;99;4.00;2;6;21.00;15;99;4
1.741;1.00;1;9;2;1;1.00;1.00;1.00;1.00;3;3;5;5;99;99;-1.17795;0.10516;1;99;4.00;2;1;35.00;14;99;3
1.748;2.00;2;4;2;2;1.00;2.00;2.00;2.00;4;5;3;4;99;8;1.04494;3.22451;2;99;4.00;2;1;61.00;12;99;3
1.762;1.00;1;5;2;1;1.00;1.00;2.00;1.00;1;4;1;4;1;8;-1.04902;-0.87148;2;7;3.00;1;1;46.00;15;2;2
1.764;4.00;2;4;3;2;2.00;1.00;2.00;2.00;3;4;4;4;5;4;1.74366;-1.14905;3;7;3.00;2;1;31.00;12;9;3
1.771;2.00;1;7;3;1;1.00;1.00;2.00;1.00;6;8;1;6;1;1;-0.01896;0.20748;1;5;2.00;2;1;45.00;12;99;3
1.773;2.00;1;2;2;2;1.00;2.00;2.00;2.00;1;1;1;1;99;99;0.51457;-0.07878;9;99;4.00;2;5;83.00;12;99;4
1.776;2.00;1;7;3;1;1.00;2.00;1.00;1.00;1;1;1;1;99;1;0.32782;-0.92843;2;8;3.00;2;6;37.00;12;99;4
1.786;3.00;1;8;4;3;1.00;1.00;2.00;1.00;1;1;1;1;1;1;0.31369;-0.38765;9;99;4.00;1;6;62.00;12;99;3
1.797;3.00;1;3;3;3;1.00;2.00;2.00;1.00;1;1;5;5;1;1;-1.07042;0.17886;1;5;2.00;1;1;48.00;12;9;4
1.802;2.00;1;9;3;1;1.00;1.00;2.00;1.00;1;2;1;10;6;1;-0.47585;-0.00010;1;7;3.00;2;6;19.00;14;99;3
1.805;4.00;2;7;4;1;1.00;1.00;1.00;1.00;7;6;8;7;5;7;0.47269;0.82036;2;6;3.00;1;5;53.00;16;2;1
1.816;2.00;1;8;2;2;1.00;1.00;2.00;1.00;3;3;3;6;2;3;-0.87703;0.00112;1;99;4.00;2;5;65.00;12;99;2
1.817;4.00;2;1;4;3;2.00;2.00;2.00;2.00;10;10;1;5;1;1;-0.90135;-0.27864;2;6;3.00;1;1;45.00;12;7;3
1.820;4.00;2;7;3;3;2.00;1.00;2.00;2.00;7;10;5;10;5;1;0.41184;-1.48452;3;99;4.00;1;1;28.00;19;4;2
1.822;3.00;1;8;4;2;2.00;1.00;2.00;2.00;10;3;5;5;10;5;2.08872;-1.14743;3;3;1.00;2;1;19.00;16;99;2
1.824;1.00;1;5;1;1;1.00;2.00;2.00;1.00;3;2;2;2;1;1;-0.39634;0.14857;1;99;4.00;2;5;77.00;12;9;3
1.825;2.00;1;10;2;2;1.00;1.00;2.00;1.00;1;1;1;5;8;1;-1.32857;0.32390;1;7;3.00;1;1;57.00;12;6;3
1.827;1.00;1;7;2;1;1.00;1.00;2.00;1.00;1;1;7;7;1;1;-0.40988;-0.48091;2;5;2.00;1;1;36.00;17;4;2
